disease,mortality_1y,mortality_5y,source,confidence
Chronic Thromboembolic Pulmonary Hypertension,3.0,15.0,"CTEPH survival cohorts (ERJ 2025; AHA Circulation 2016): ~1y survival 95-98%, 5y 85%",high
Cognitive Change; Behavior,0.0,1.0,Non-lethal symptom descriptor (cognitive/behavioral); negligible disease-specific mortality,low
Colonoscopy,0.0,0.0,"Procedure, not a disease; procedural mortality ~0",high
Community-acquired Bacterial Pneumonia,12.0,35.0,"Hospitalized CAP cohort (Clin Infect Dis 2017): 30-day ~13%, 1y ~30.6%; 5y higher",high
Complicated Intra-abdominal Infection,8.0,20.0,cIAI 30-day mortality ~5-10% (published surgical-sepsis cohorts),medium
Complicated Urinary Tract Infection; Acute Pyelonephritis,3.0,10.0,cUTI/pyelonephritis short-term mortality low single digits (published cohorts),medium
Corona Virus Infection,3.0,5.0,COVID-19 typical infection (post-vaccine era) low CFR ~1-3%; pre-treatment hospitalized higher,low
Coronary Artery Disease (CAD),2.0,10.0,Stable CAD annual mortality ~2%/yr (cardiology cohorts); 5y ~10%,medium
Coronary Artery Disease; Endothelial Function,2.0,10.0,Stable CAD annual mortality ~2%/yr (cardiology cohorts); 5y ~10%,medium
Coronavirus; Severe Acute Respiratory Syndrome,10.0,12.0,SARS/severe-coronavirus CFR ~10% (WHO SARS); severe hospitalized course,low
Covid19; Viral Pneumonia Human Coronavirus; Severe Acute Respiratory Syndrome,15.0,18.0,Severe COVID viral pneumonia/ARDS hospitalized mortality ~15% (most severe component),low
Cystoscopes; Baxter Anaesthesia Brand of Desflurane; Sevoflurane,0.0,0.0,"Procedural/anesthesia setting, not a disease; mortality ~0",high
Cytomegalovirus (CMV),8.0,15.0,CMV disease in transplant recipients increased mortality (~6-8% SOT; OFID/PMC cohorts),medium
Delirium; Impaired Cognition; Long Term Psychologic Disorders,15.0,30.0,Delirium associated with elevated 1y mortality ~15-30% (geriatric ICU/inpatient cohorts),low
Diabetes Mellitus Type 2,1.0,5.0,"T2DM chronic low-lethality; modest excess mortality, ~1%/yr (registry cohorts)",high
"Diabetic Neuropathy, Painful",1.0,8.0,Diabetic neuropathy reflects diabetes mortality; small annual excess (registry),medium
Drug Resistant Malaria Due to Plasmodium Falciparum,5.0,5.0,Severe/resistant P. falciparum malaria CFR ~severe-malaria 5-20% treated (WHO),low
Duchenne muscular dystrophy,2.0,12.0,"DMD median life expectancy ~28y (IPD meta-analysis 2021); low annual mortality, chronic",medium
Duodenal Ulcer,1.0,3.0,Uncomplicated peptic/duodenal ulcer low mortality; complications (bleed) raise it,medium
Dysmenorrhea,0.0,0.0,"Benign condition, not lethal; mortality ~0",high
Early Recovery in Elderly Patients; Cognitive Function,1.0,5.0,Perioperative recovery/cognition descriptor in elderly; low disease-specific mortality,low
End Stage Renal Disease; Restless Legs Syndrome,22.0,60.0,"ESRD on dialysis (USRDS): 1y ~20-25%, 5y ~60% (most severe component)",high
Endometrial Carcinoma,5.0,18.0,SEER endometrial/uterine: 5y relative survival ~81-84%; overall stage mix,high
Epilepsy; Generalized Tonic-clonic Seizures,1.0,5.0,Epilepsy modest excess mortality (SUDEP/status); ~1%/yr (population cohorts),medium
Esophageal Cancer,46.0,80.0,"SEER esophageal: 1y relative survival ~54%, 5y ~20%",high
Fever,0.0,0.0,"Symptom, not a disease; mortality ~0",high
Fragile X Syndrome,0.0,1.0,Genetic neurodevelopmental disorder; near-normal life expectancy,medium
Functional Endoscopic Sinus Surgery (FESS),0.0,0.0,"Surgical procedure, not a disease; procedural mortality ~0",high
Gastric Adenocarcinoma; Gastroesophageal Junction Adenocarcinoma,45.0,65.0,SEER stomach/gastric: 5y relative survival ~33-38%; 1y ~50-55%,high
Gastrointestinal Cancer,40.0,65.0,Aggregate GI cancer (colorectal/gastric/esophageal/pancreatic mix); ~5y survival 30-50%,low
Gastrointestinal Stromal Tumors,5.0,15.0,SEER/ACS GIST: overall 5y survival ~85%,high
General Anesthesia,0.0,0.0,"Anesthesia setting, not a disease; mortality ~0",high
Graft Versus Host Disease,25.0,50.0,Severe acute/chronic GVHD high mortality; ~5y NRM 40-50% (HSCT cohorts),low
Graft-versus-host Disease,25.0,50.0,Severe acute/chronic GVHD high mortality; ~5y NRM 40-50% (HSCT cohorts),low
Graves disease,0.5,2.0,Graves/hyperthyroidism low mortality if treated; small excess (registry),medium
HIV,2.0,8.0,Treated HIV near-normal life expectancy; small annual excess mortality (cohorts),medium
HIV; Tuberculosis,18.0,30.0,HIV-TB coinfection high CFR; ~18% during TB treatment in HIV+ (meta-analysis),medium
Headache,0.0,0.0,"Benign symptom, not lethal; mortality ~0",high
Healthy Volunteers,0.0,0.0,Not a disease (healthy subjects); mortality ~0,high
Heart Failure With Preserved Ejection Fraction,15.0,55.0,"HFpEF cohorts (ACC 2025): 1y mortality ~15-25%, 5y ~55-75%",high
Heartburn,0.0,0.0,"Benign symptom (GERD-related), not lethal; mortality ~0",high
Hormone-Sensitive Metastatic Breast Cancer,10.0,66.0,SEER distant HR+ breast: 5y relative survival ~34% (metastatic stage),high
Hypercholesterolemia; Hypertension,0.5,3.0,"Chronic risk factors, low direct lethality; small annual excess (registry)",high
Hyperlipidemias,0.5,3.0,"Chronic risk factor, low direct lethality; small annual excess (registry)",high
Immune Thrombocytopenia,2.0,10.0,ITP modest excess mortality (bleeding/infection); ~5y survival ~90% (cohorts),medium
"Influenza, Human",0.5,1.0,Seasonal influenza CFR ~0.1-1% (CDC); higher in elderly,medium
Ischemic Stroke,18.0,40.0,"Ischemic stroke cohorts: 1y mortality ~18-25%, 5y ~40% (AHA/registry)",high
Labor pain,0.0,0.0,"Physiologic state/symptom, not a disease; mortality ~0",high
Latent Tuberculosis Infection,0.0,0.5,Latent TB asymptomatic; negligible mortality unless reactivation (WHO),high
Lennox-Gastaut syndrome,3.0,15.0,LGS severe epileptic encephalopathy; elevated mortality ~3-7%/5y (cohorts),low
"Leukemia, Myeloid, Acute",48.0,68.0,SEER AML: 5y relative survival ~31.9% (5y mortality ~68%); 1y mortality ~45-50%,high
Leukemia; Acute Myeloid Leukemia (AML); Myelodysplastic Syndromes (MDS),48.0,68.0,SEER AML (most severe component): 5y survival ~32% (5y mortality ~68%); 1y ~45-50%,high
Locoregional Analgesia in Breast Surgery,0.0,0.0,"Anesthesia/analgesia procedural setting, not a disease; mortality ~0",high
Lupus Nephritis,3.0,8.0,"Lupus nephritis cohorts (NDT 2012; PMC): 5y survival ~94%, 10y ~86%",high
Lymphocytic Colitis,0.0,1.0,Benign microscopic colitis; near-normal life expectancy,medium
MDS,15.0,55.0,SEER/ACS MDS: 5y relative survival ~40-47%; risk-group dependent,high
MULTIPLE MYELOMA,12.0,38.0,"SEER multiple myeloma: 1y survival ~88%, 5y relative survival ~62%",high
Macular Edema,0.0,0.5,"Ocular condition (vision-threatening, not lethal); negligible mortality",high
Malaria,3.0,3.0,Malaria treated CFR low; severe falciparum higher (WHO); population estimate,low
Menopause,0.0,0.0,"Physiologic life stage, not a disease; mortality ~0",high
Metabolic Syndrome,1.0,5.0,"Cluster of risk factors, low direct lethality; modest excess (cohorts)",medium
Metastatic Pancreatic Adenocarcinoma,78.0,97.0,"SEER distant pancreatic: 1y survival ~22%, 5y relative survival ~3%",high
Multiple System Atrophy,5.0,55.0,MSA cohorts: median survival ~9y from onset; ~50% mortality by 4y from first visit,medium
"Multiple Trauma; Pain, Acute",10.0,15.0,Multiple/polytrauma acute mortality variable ~10% (trauma registries),low
Mutant Melanoma,20.0,45.0,BRAF-mutant metastatic melanoma 5y survival up to ~50-60% modern therapy; advanced stage,medium
Myasthenia Gravis,2.0,5.0,MG low mortality with treatment; myasthenic crisis raises it (cohorts),medium
Myelodysplastic Syndromes,15.0,55.0,SEER/ACS MDS: 5y relative survival ~40-47%; risk-group dependent,high
Myelofibrosis; Primary Myelofibrosis; Post Essential Thrombocythemia Myelofibrosis; Post Polycythemia Vera Myelofibrosis,12.0,49.0,Primary myelofibrosis: median survival ~5y; ~49% die within 5y (population cohorts),high
Myocardial Infarction,10.0,25.0,"AMI cohorts: 1y mortality ~7-11%, 5y ~22-25% (registry)",high
Myocardial Infarction; ST Segment Elevation Myocardial Infarction (STEMI),10.0,22.0,"STEMI cohorts: 1y mortality ~7-11%, 5y ~20-22%",high
Nasopharyngeal Carcinoma,15.0,39.0,SEER nasopharyngeal: overall 5y relative survival ~61%; 1y ~75-85%,high
Non-Proliferative Diabetic Retinopathy; Cataract,1.0,5.0,Ocular complications of diabetes; mortality reflects underlying diabetes (low),medium
Non-Small Cell Lung Cancer,55.0,72.0,SEER NSCLC: overall 5y relative survival ~28%; 1y mortality high,high
Non-small-cell Lung Cancer With Somatic EGFR Mutations,25.0,55.0,EGFR-mutant NSCLC better prognosis with TKIs; 5y survival ~30-50% vs overall NSCLC,medium
Orthopedic Disorders,0.0,1.0,Musculoskeletal disorders generally non-lethal; negligible disease-specific mortality,medium
Other Acute Postoperative Pain,0.0,0.5,"Postoperative pain symptom, not a disease; negligible mortality",high
Overactive Bladder Syndrome,0.0,0.0,"Benign urologic condition, not lethal; mortality ~0",high
Overactive Bladder; Urinary Incontinence,0.0,0.0,"Benign urologic condition, not lethal; mortality ~0",high
Pain Relief,0.0,0.0,"Symptom/treatment goal, not a disease; mortality ~0",high
"Pain, Postoperative; Tooth Diseases",0.0,0.5,"Postoperative dental pain; benign, negligible mortality",high
Parental/Caregiver Anxiety; Child's Anxiety,0.0,0.0,"Anxiety symptom descriptor, not lethal; mortality ~0",high
Patent Ductus Arteriosus,2.0,5.0,PDA in preterm infants; mortality reflects prematurity; treated PDA low (neonatology),low
Pediatric Bipolar Disorder,0.5,2.0,Bipolar disorder elevated suicide risk; low absolute annual mortality (psychiatric cohorts),low
Peripheral Vertigo.,0.0,0.0,"Benign vestibular symptom, not lethal; mortality ~0",high
Plaque Psoriasis,0.5,3.0,Psoriasis modest excess mortality (cardiometabolic comorbidity); low direct (cohorts),medium
Plasmodium falciparum malaria,3.0,3.0,Falciparum malaria treated CFR low; severe higher (WHO); population estimate,low
Platelet Reactivity,0.0,0.0,"Laboratory/biomarker descriptor, not a disease; mortality ~0",low
Post Partum Hemorrhage,0.5,1.0,PPH acute event; developed-country case fatality low (~0.2-1%) (ACOG/registry),medium
Post Traumatic Stress Disorder,0.5,2.0,PTSD elevated suicide/comorbidity risk; low absolute annual mortality (cohorts),low
Post-Surgical Ocular Pain; Post-Surgical Ocular Inflammation,0.0,0.0,"Postoperative ocular symptom, not lethal; mortality ~0",high
Postoperative Nausea and Vomiting,0.0,0.0,"Benign postoperative symptom, not lethal; mortality ~0",high
Prediabetes; Type 2 Diabetes,1.0,5.0,T2DM/prediabetes chronic low-lethality; small annual excess (registry),high
Previously Treated Chronic Lymphocytic Leukemia,5.0,25.0,SEER CLL: overall 5y relative survival ~75-88%; relapsed/treated worse,medium
Previously Untreated Chronic Lymphocytic Leukemia,3.0,15.0,SEER CLL: 5y relative survival ~88% (recent); untreated often indolent,high
Primary Breast Cancer,3.0,10.0,"SEER breast (overall, early-stage predominant): 5y relative survival ~90%",high
Psoriasis,0.5,3.0,Psoriasis modest excess mortality (comorbidity); low direct (cohorts),medium
Quality of Bowel Preparation for the Colon Capsule; Colon Capsule Completion Rates; Colon Capsule Polyp Detection,0.0,0.0,"Procedural/diagnostic-quality endpoints, not a disease; mortality ~0",high
Recurrent Waldenstrom Macroglobulinemia; Refractory Waldenstrom Macroglobulinemia; Waldenstrom Macroglobulinemia,10.0,30.0,SEER/ACS Waldenstrom: overall 5y survival ~78%; relapsed/refractory worse,medium
Relapsed Prostate Cancer,10.0,40.0,Relapsed/advanced prostate; SEER distant 5y survival ~30%; relapse heterogeneous,medium
Renal Insufficiency,3.0,15.0,Chronic kidney disease (pre-ESRD) elevated mortality; stage-dependent (cohorts),low
ST Elevation Myocardial Infarction,10.0,22.0,"STEMI cohorts: 1y mortality ~7-11%, 5y ~20-22%",high
Secondary Hyperparathyroidism; Chronic Kidney Disease,8.0,40.0,CKD/ESRD-associated (most severe component); advanced CKD elevated mortality,low
Sedation or Anesthesia,0.0,0.0,"Anesthesia/sedation setting, not a disease; mortality ~0",high
Sepsis; Septic Shock,40.0,55.0,Septic shock hospital mortality ~37-40%; 1y mortality up to ~46% (cohorts),high
Sickle Cell Anemia; Sickle Cell Disease; Malaria,2.0,8.0,"Sickle cell disease chronic; reduced life expectancy, low annual mortality (cohorts)",medium
Skin Structures and Soft Tissue Infections,2.0,5.0,ABSSSI generally low mortality; necrotizing forms higher (published cohorts),medium
Sleep Disorder,0.0,1.0,Sleep disorders generally non-lethal; OSA modest long-term excess (cohorts),medium
Spinal anesthesia-induced hypotension,0.0,0.0,"Anesthesia-related physiologic event, not a disease; mortality ~0",high
Status Epilepticus,10.0,25.0,"Status epilepticus cohorts (Neurology 2022): 30-day ~8.5% (adult ~10%), 1y ~25%",high
Status Epilepticus; Epilepsy,10.0,25.0,"Status epilepticus (most severe component): 30-day ~8.5%, 1y ~25%",high
Stomach Neoplasms,45.0,65.0,SEER stomach/gastric: 5y relative survival ~33-38%; 1y ~50-55%,high
Stress Ulcer Prophylaxis,0.0,0.0,"Preventive intervention setting, not a disease; mortality ~0 (reflects ICU population)",low
Thrombocytopenia,3.0,10.0,Thrombocytopenia (heterogeneous); mortality depends on cause; ITP-like ~low,low
Tract Carcinoma,40.0,60.0,"Ambiguous (GI/urinary tract carcinoma); generic carcinoma estimate, ~5y survival 30-50%",low
Transplantation Infection; Cytomegalovirus Infections,8.0,18.0,Post-transplant CMV/infection; increased mortality (~6-8% SOT) (OFID cohorts),medium
Traumatic Brain Injury,30.0,45.0,Severe TBI cohorts: 1y mortality ~36-44%; moderate-severe overall lower,medium
Traumatic Femur Fracture,5.0,20.0,Femur fracture (esp. hip/elderly): 1y mortality ~5-10%; elderly hip ~20%/1y,low
Treatment Resistant Depression,1.0,3.0,TRD elevated suicide/comorbidity risk; low absolute annual mortality (cohorts),low
Treatment of Major Depressive Disorder,0.5,2.0,MDD elevated suicide risk; low absolute annual mortality (psychiatric cohorts),low
Tricuspid Regurgitation; Right Ventricular Dilatation,10.0,40.0,"Severe tricuspid regurgitation: 1y mortality ~10-15%, 5y high ~40-50% (cardiology)",medium
Triple Negative Breast Cancer,10.0,23.0,SEER TNBC: 5y relative survival ~77%; 1y survival ~90%,high
Tube Cancer,30.0,55.0,Ambiguous (fallopian tube carcinoma); ~5y survival ~45-55% (gynecologic cohorts),low
"Tuberculosis, Pulmonary, Drug Sensitive; Tuberculosis, Pulmonary, Multi Drug-resistant",10.0,20.0,MDR-TB (most severe component): treatment-period CFR higher ~10-15% (WHO),medium
Type II Diabetes Mellitus,1.0,5.0,T2DM chronic low-lethality; modest excess mortality (registry),high
Unexplained Infertility,0.0,0.0,"Infertility, not lethal; mortality ~0",high
Upper Gastrointestinal Bleeding,10.0,20.0,Acute UGIB 30-day mortality ~5-12% (peptic ulcer); higher long-term (cohorts),high
Urothelial Carcinoma,15.0,45.0,SEER bladder/urothelial: overall 5y relative survival ~55-77%; stage-dependent,medium
Vaginal Cancer,20.0,42.0,SEER vaginal: overall 5y relative survival ~58-64%; 1y higher,high
Vaginal Infection,0.0,0.0,"Benign infection (e.g., vaginitis), not lethal; mortality ~0",high
Venous Thromboembolism,15.0,30.0,"VTE/PE cohorts: 1y mortality ~20-26% (often comorbidity-driven), 5y higher",high
"Vomiting, Postoperative; Postoperative Complications; Hypotension",1.0,3.0,Postoperative complications (heterogeneous); generally low mortality,low
Waldenström's Macroglobulinemia,8.0,22.0,SEER/ACS Waldenstrom: overall 5y relative survival ~78%,high
adenovirus infection,1.0,2.0,Adenovirus typically self-limiting; severe in immunocompromised higher (cohorts),low
alcohol dependence,2.0,10.0,Alcohol use disorder elevated mortality (liver/injury/cardiac); ~standardized mortality ratio high,medium
allergic conjunctivitis,0.0,0.0,"Benign allergic eye condition, not lethal; mortality ~0",high
bacterial infection,2.0,5.0,Generic bacterial infection (heterogeneous); mortality varies widely by site/severity,low
breast cancer,2.0,10.0,SEER breast 5y relative survival ~91% overall,high
cataract,0.0,0.0,Non-lethal ophthalmologic condition; no disease mortality,high
cell Lymphoma,8.0,30.0,NHL aggregate; SEER NHL 5y relative survival ~74% (variable by subtype),medium
chronic hepatitis B virus infection,1.0,5.0,Untreated CHB; cirrhosis/HCC drive mortality over decades (WHO/registries),medium
chronic migraine,0.0,0.0,Non-lethal chronic disorder; negligible direct mortality,high
delirium,25.0,50.0,In-hospital/elderly delirium 1y mortality ~25-40% (cohort studies); marker of frailty,medium
diabetes Mellitus,1.0,5.0,T2DM modest excess mortality; low single digits short-term (registry/cohort),high
diabetic foot ulcer,10.0,45.0,"DFU 5y mortality ~40-50% (cohort studies), 1y ~5-10%",medium
diabetic macular edema,0.0,1.0,Vision-threatening but non-lethal; mortality reflects underlying diabetes,high
erythropoietic protoporphyria,0.0,1.0,Normal life expectancy except ~10% liver disease (Orphanet/Merck),high
fasciculation,0.0,0.0,Symptom/benign sign; not a lethal disease per se,medium
fecal incontinence,0.0,1.0,Non-lethal functional disorder; mortality reflects comorbidity,high
fibrodysplasia ossificans progressiva,1.0,5.0,Median lifespan ~56y; excess mortality begins ~age 30 (FOP registry),medium
fluid overload,5.0,15.0,Symptom of HF/renal disease; mortality reflects underlying cause,low
focal epilepsy,1.0,5.0,Epilepsy SMR 2-3x; modest excess mortality (registries),medium
generalized anxiety disorder,0.0,1.0,Non-lethal psychiatric disorder; small excess mortality,high
hemodynamic instability,15.0,30.0,Symptom/critical-care state; mortality reflects underlying cause,low
hip fracture,20.0,50.0,"Elderly hip fracture 1y mortality ~16-25%, ~50% at 5y (cohort/registry)",high
hyperphosphatemia,3.0,15.0,Lab abnormality of CKD; mortality reflects renal disease,low
infertility,0.0,0.0,Non-lethal reproductive condition,high
influenza,0.0,1.0,Seasonal flu case-fatality ~0.1% overall; higher in elderly (CDC/WHO),high
liposarcoma or leiomyosarcoma,10.0,40.0,"Soft tissue sarcoma; liposarcoma 5y ~57-82%, leiomyosarcoma worse (SEER)",medium
male hypogonadism,0.0,1.0,Non-lethal endocrine condition,high
medical abortion,0.0,0.0,"Procedure, not a disease; negligible mortality",high
mixed dyslipidemia,0.0,2.0,Risk factor not acute disease; low direct short-term mortality,high
neonatal abstinence syndrome,1.0,2.0,NAS low direct mortality with care; treatable neonatal condition,medium
neurogenic bladder,1.0,5.0,Non-lethal; mortality reflects underlying neuro condition/complications,medium
neuropsychiatric symptoms of neurodegenerative disease,15.0,60.0,Reflects underlying dementia; high mortality over years,low
opioid dependence,3.0,15.0,Opioid use disorder elevated mortality; SMR ~6-20x (cohort),medium
photoaging,0.0,0.0,Cosmetic dermatologic condition; no mortality,high
pituitary-dependent Cushing's disease,2.0,10.0,Cushing's SMR ~2-4x untreated; cardiovascular/infection deaths (cohort),medium
positive Melanoma,2.0,10.0,"Melanoma overall; SEER all-stage 5y ~93%, localized very high",medium
preterm labor and delivery,1.0,2.0,Maternal mortality negligible; fetal/neonatal risk separate,medium
progressive familial intrahepatic cholestasis,10.0,40.0,High mortality without transplant; median death ~age 4 in some cohorts (Orphanet),medium
purpura,2.0,5.0,"Heterogeneous; ITP/HSP low, TTP high; using mild-moderate aggregate",low
restless legs syndrome,0.0,0.0,Non-lethal sleep/movement disorder,high
rhinitis,0.0,0.0,Allergic rhinitis; non-lethal chronic condition,high
rosacea,0.0,0.0,Chronic skin condition; no mortality,high
scabies,0.0,0.0,Parasitic skin infestation; negligible mortality (treatable),high
septic shock,40.0,55.0,"Septic shock in-hospital ~39%, 1y ~46% (meta-analysis/cohort)",high
severe hypertriglyceridemia,1.0,5.0,Pancreatitis risk; modest direct mortality,medium
skin and soft tissue Staphylococcus aureus infection,2.0,5.0,Uncomplicated SSTI low mortality; higher if bacteremic,medium
status epilepticus,30.0,40.0,"30-day mortality ~10-22%, 1y ~30% adults (Neurology cohort)",high
tinea pedis,0.0,0.0,Athlete's foot; non-lethal fungal infection,high
tobacco use disorder,1.0,8.0,Long-term excess mortality; minimal short-term direct mortality,medium
transthyretin amyloid cardiomyopathy,10.0,64.0,ATTR-CM median survival ~2.6-5y; ~36% alive at 5y untreated (cohort),high
traumatic brain injury,10.0,20.0,Overall TBI mild-moderate-severe mix; severe ~33-44% 1y mortality (cohort),medium
tuberculosis,15.0,20.0,Treated TB CFR ~3.5-15%; untreated ~50-70% (WHO/meta-analysis),high
1mg Vs 3 mg of Granisetron,0.0,0.0,"Dose comparison, not a disease; antiemetic study setting",high
ACE inhibitor-induced angioedema,1.0,2.0,Low mortality unless airway compromise (case series),medium
AL Amyloidosis,20.0,40.0,"1y mortality ~12-30%, 5y ~50% (often early deaths) (Blood Cancer J/Mayo)",high
ALOPECIA AREATA,0.0,0.0,Autoimmune hair loss; non-lethal,high
AML; MDS; CMML,50.0,68.0,"AML 5y relative survival ~32% (most severe component, SEER)",high
Abdominal Aortic Aneurysms,4.0,15.0,Unruptured AAA ~3.8% mortality; rupture ~46-75% (cohort/StatPearls),medium
Abdominal Cancer,15.0,50.0,Generic abdominal/GI malignancy aggregate; variable by organ,low
Acetabular Fractures,5.0,15.0,Major trauma fracture; mortality reflects injury severity/age,low
Acetaminophen; Drug Overdose; Acetaminophen Overdose; Acetaminophen Poisoning; Drug-induced Liver Injury; Liver Failure; Liver Toxicity,15.0,20.0,Acetaminophen-induced acute liver failure; mortality ~10-25% (most severe component),medium
Acne,0.0,0.0,Non-lethal skin condition,high
Active Dermatomyositis,5.0,20.0,Dermatomyositis 5y mortality ~10-25%; malignancy/ILD drive deaths (cohort),medium
Acute Abdominal Pain,2.0,5.0,Symptom; mortality reflects underlying cause (variable),low
Acute Coronary Syndrome; Percutaneous Coronary Intervention,5.0,15.0,ACS 1y mortality ~5-10% post-PCI; higher with comorbidity (registry),medium
Acute Coronary Syndrome; Unstable Angina,3.0,12.0,Unstable angina/NSTE-ACS 1y mortality ~3-8% (registry),medium
Acute Hematogenous Osteomyelitis,1.0,3.0,Low mortality with antibiotics; higher if sepsis,medium
Acute Ischemic Stroke,24.0,45.0,"30-day CFR ~12.6%, 1y ~23.6% (AHA/Stroke cohort)",high
Acute Kidney Injury; Exercise-associated Hyponatremia; Perceived Exertion,15.0,30.0,AKI most severe component; hospitalized AKI ~20-25% mortality (cohort),medium
Acute Leukemia,50.0,60.0,Aggregate acute leukemia; AML drives high early mortality (SEER),medium
Acute Lymphoblastic Leukemia,20.0,45.0,"Adult ALL; 5y survival ~30-43% adults, better younger (SEER)",high
Acute Mountain Sickness,0.0,0.0,Self-limiting altitude illness; HACE/HAPE rare and severe,high
Acute Musculoskeletal Disease; Sprains; Sprains and Strains; Injuries; Emergencies; Trauma; Acute Pain,0.0,1.0,Minor musculoskeletal injury; negligible mortality,high
Acute Myelogenous Leukemia,50.0,68.0,AML 5y relative survival ~32% (SEER); 1y ~50% mortality,high
Acute Myeloid Leukemia; Myelodysplastic Syndrome; Chronic Myelomonocytic Leukemia,50.0,68.0,"AML 5y relative survival ~32% (most severe component, SEER)",high
Acute Myocardial Infarction; Heart Failure,15.0,40.0,"MI with HF; 1y mortality ~10-20%, higher with HF (registry)",medium
Acute Myocardial Infarction; Left Ventricular Thrombosis; Anticoagulants and Bleeding Disorders,12.0,30.0,AMI with LV thrombus; elevated embolic/bleeding mortality (cohort),medium
Acute Pain Due to Trauma,0.0,1.0,Pain symptom; mortality reflects underlying trauma,high
Acute Post-op Pain,0.0,0.0,Postoperative pain symptom; negligible direct mortality,high
Acute Post-operative Pain; Chronic Post Operative Pain; Narcotic Use; Opioid Use; Opioid Addiction,1.0,5.0,Pain/opioid-use cluster; opioid dependence drives modest excess mortality,medium
Acute ST Segment Elevation Myocardial Infarction; Thrombolysis in Myocardial Infarction Flow,8.0,18.0,STEMI 1y mortality ~7-12% (registry),medium
Acute Traumatic Pain,0.0,1.0,Pain symptom; mortality reflects underlying trauma,high
Acute Upper Gastrointestinal Bleeding,10.0,20.0,Acute UGIB in-hospital mortality ~5-10% (cohort/registry),medium
Acute Urticaria,0.0,0.0,Self-limiting allergic skin condition,high
Adenocarcinoma of the Pancreas; Advanced Solid Tumors; Cancer; Cancer of Pancreas; Cancer of the Pancreas; Metastases; Metastatic Cancer; Metastatic Pancreatic Cancer; Pancreas Cancer; Pancreatic Cancer; Bone Metastases; Endocrine Cancer; Oncology; Oncology Patients; Solid Tumors; Advanced Malignancy,78.0,97.0,"Metastatic pancreatic cancer 1y survival ~22%, 5y ~3% (SEER distant)",high
Adenocarcinoma of the Pancreas; Locally Advanced; Unresectable,70.0,90.0,Locally advanced unresectable pancreatic cancer; median OS ~12mo (SEER/cohort),high
Adult T-Cell Leukemia,57.0,76.0,"ATLL aggressive; 1y OS ~43%, 5y OS ~23% (cohort)",high
Adults and Children With Pulmonary Fibrosis,15.0,60.0,IPF median survival ~3-5y; 5y mortality ~50-70% (registry),medium
Advance Melanoma,30.0,65.0,"Advanced/metastatic melanoma; distant 5y ~35% (improved with immunotherapy, SEER)",medium
Advanced BRAFV600 Wild-type Melanoma,30.0,65.0,Advanced melanoma; distant 5y ~35% (SEER),medium
Advanced Cancer,40.0,70.0,Generic advanced/metastatic malignancy aggregate; poor prognosis,low
Advanced Cervical Cancer,30.0,65.0,"Advanced cervical cancer; stage IVB 1y survival ~24%, distant 5y ~17% (SEER)",medium
Advanced Endometrial Cancer,25.0,82.0,Distant endometrial cancer 5y survival ~18% (SEER),medium
Advanced Esophageal Cancer,60.0,95.0,"Distant esophageal cancer 5y survival ~5%, median ~5mo (SEER)",high
Advanced Hepatocellular Carcinoma,86.0,97.0,"Distant HCC 1y survival ~14%, 5y ~3% (SEER)",high
Advanced Non-Squamous Non-Small Cell Lung Cancer,65.0,91.0,Distant NSCLC 5y survival ~9%; 1y survival ~30-40% (SEER),high
Advanced Pancreatic Cancer,78.0,97.0,"Metastatic pancreatic cancer 1y ~22%, 5y ~3% (SEER distant)",high
Advanced Rectal Cancer,25.0,85.0,Distant rectal cancer 5y survival ~15-18% (SEER),medium
Advanced Rectal Carcinoma,25.0,85.0,Distant rectal cancer 5y survival ~15-18% (SEER),medium
Advanced Solid Tumor; Non-Small Cell Lung Cancer; Colorectal Cancer,50.0,85.0,Advanced solid tumor mix; metastatic disease poor prognosis (SEER),low
Advanced Solid Tumors,50.0,85.0,Generic advanced/metastatic solid tumor; poor prognosis,low
Aging; Insulin Sensitivity; Chronic Disease; Mitochondria; Insulin Resistance,0.0,2.0,Metabolic/aging research setting; not an acute lethal disease,medium
Alcohol Dependence,3.0,15.0,Alcohol use disorder SMR ~3-8x; elevated mortality (cohort),medium
Alcoholic Hepatitis,30.0,55.0,Severe alcoholic hepatitis 90-day mortality ~30-44% (meta-analysis),high
Alcoholic Hepatitis; Alcoholic Liver Disease,30.0,55.0,Severe alcoholic hepatitis 90-day mortality ~30-44%; ALD cirrhosis worse long-term,high
Alcoholism,3.0,15.0,Alcohol use disorder elevated mortality; SMR ~3-8x (cohort),medium
Alopecia Areata; Alopecia Totalis; Alopecia Universalis,0.0,0.0,Autoimmune hair loss; non-lethal,high
Altitude Sickness,0.0,0.0,Acute mountain sickness self-limiting; HACE/HAPE rare/severe,high
Alzheimer Disease,15.0,60.0,Alzheimer's median survival ~4-8y from diagnosis; high 5y mortality (cohort),high
Alzheimer's disease biomarker measurement,0.0,5.0,Biomarker measurement study; reflects underlying AD risk not acute mortality,medium
Ambulatory Cancer,15.0,40.0,Generic ambulatory cancer cohort; variable by type/stage,low
"Amino Acid Metabolism, Inborn Errors",3.0,10.0,"Inborn errors of amino acid metabolism; variable, treatable with management",low
Anal Carcinoma,5.0,40.0,Anal SCC 5y relative survival ~58-66% overall; distant ~30% (SEER),medium
Anal Incontinence,0.0,1.0,Non-lethal functional disorder,high
