disease,risk_tolerance,severity_basis,confidence
Cutaneous T-Cell Lymphoma,70,lymphoma life-shortening malignancy,high
Cutaneous T-Cell Lymphoma/Mycosis Fungoides,70,lymphoma life-shortening malignancy,high
Cystic Fibrosis,70,progressive life-shortening multisystem disease,high
Cystic Fibrosis Pulmonary Exacerbation,70,respiratory exacerbation in life-shortening disease,high
Cystoscopes; Baxter Anaesthesia Brand of Desflurane; Sevoflurane,10,anesthesia for minor procedure low-risk setting,med
Cytokine Storm (Covid-19); cytokine release syndrome,85,hyperinflammatory syndrome with high mortality,high
Cytomegalovirus (CMV),50,viral infection serious in immunocompromised,med
Cytomegalovirus Disease,55,viral disease serious in immunocompromised,med
Cytomegalovirus Disease; Kidney Transplant Infection,65,viral infection in transplant patients,high
Deep Vein Thrombosis,55,thrombosis with embolism risk,high
Deep Vein Thrombosis; Pulmonary Embolism,75,pulmonary embolism with mortality risk,high
Deep Venous Thrombosis,55,thrombosis with embolism risk,high
Delirium,45,acute confusion associated with serious illness,med
Delirium; Critical Illness; Intensive Care Psychosis; Cognitive Impairment; Cognitive Decline,85,critical illness with high mortality,high
Delirium; Impaired Cognition; Long Term Psychologic Disorders,45,acute confusion with cognitive impairment,med
Dementia,55,progressive neurodegenerative life-shortening disease,high
Dengue Hemorrhagic Fever,80,hemorrhagic fever with shock and mortality risk,high
Depression,40,chronic mood disorder with suicide risk,high
"Depressive Disorder, Major",45,major depression with suicide risk,high
"Dermatitis, Atopic",20,chronic skin inflammation not life-threatening,high
Dermatomyositis; Polymyositis,60,systemic inflammatory myopathy with organ involvement,high
Development,10,developmental setting not a disease,low
Dexamethasone-induced Hiccup in Chemotherapy,8,benign treatment side-effect symptom,high
Diabetes,40,chronic metabolic disease with long-term complications,high
Diabetes Mellitus,42,chronic metabolic disease with vascular/renal complications,high
Diabetes Mellitus Type 2,40,chronic manageable metabolic disease,high
"Diabetes Mellitus, Type 1",48,lifelong insulin dependence with ketoacidosis/vascular risk,high
"Diabetes Mellitus, Type 2",40,chronic manageable metabolic disease,high
"Diabetes Mellitus, Type 2; Cognitive Functions Confusion",42,chronic metabolic disease with cognitive morbidity,med
"Diabetes Mellitus, Type 2; Coronary Artery Disease",62,coronary artery disease adds ischemic mortality risk,high
"Diabetes, Type I; Diabetes, Type II; Angina; Coronary Artery Disease",62,coronary artery disease with ischemic mortality risk,high
Diabetes; Glucose Tolerance,38,chronic metabolic dysregulation,med
Diabetes; Microalbuminuria,45,diabetes with early renal damage,med
Diabetic Nephropathies,58,progressive kidney damage toward renal failure,high
"Diabetic Neuropathy, Painful",35,chronic painful disabling complication not lethal,high
Diabetic Patients,40,chronic manageable metabolic disease,med
Diabetic Retinopathy,40,progressive vision loss not lethal,high
Diffuse Large B Cell Lymphoma,85,aggressive lymphoma fatal if untreated,high
Diffuse Large B-Cell Lymphoma,85,aggressive lymphoma fatal if untreated,high
Disease Progression in Chronic Obstructive Pulmonary Disease,60,progressive life-shortening respiratory failure,high
Diverticulitis,45,can cause perforation sepsis but often self-limited,med
Drug Resistant Malaria Due to Plasmodium Falciparum,85,severe malaria high mortality if untreated,high
Drug Resistant Partial Onset Seizure,58,refractory seizures disabling with SUDEP risk,high
Duchenne Muscular Dystrophy,80,progressive fatal muscle-wasting disease,high
Duchenne Muscular Dystrophy (DMD),80,progressive fatal muscle-wasting disease,high
Duchenne Muscular Dystrophy; Becker Muscular Dystrophy,80,progressive fatal muscle-wasting disease,high
Duchenne Muscular Dystrophy; Becker Muscular Dystrophy; Dystrophinopathy,80,progressive fatal muscle-wasting disease,high
Duchenne muscular dystrophy,80,progressive fatal muscle-wasting disease,high
Duodenal Ulcer,30,treatable can bleed/perforate rarely fatal,high
Dyslipidemias,38,chronic cardiovascular risk factor,high
Dysmenorrhea,15,painful but benign self-limited,high
Dyspareunia,12,painful condition not life-threatening,high
Dyspepsia; Anxiety; Depression,30,depression carries suicide risk otherwise benign,med
Dysphagia,30,swallowing difficulty with aspiration risk,med
Dysphasia,28,language impairment disabling not lethal,med
Dystrophia Myotonica Type 1; Myotonia Congenita; Paramyotonia Congenita; Hyperkalemic Periodic Paralysis; Potassium-Aggravated Myotonia,62,myotonic dystrophy progressive with cardiac/respiratory mortality,high
Early Breast Cancer,70,curable-stage cancer but lethal if untreated,high
Early Primary Breast Cancer,70,curable-stage cancer but lethal if untreated,high
Early Recovery in Elderly Patients; Cognitive Function,10,postoperative recovery setting low intrinsic severity,med
"Ehlers-Danlos Syndrome, Vascular Type",78,vascular type risks fatal arterial/organ rupture,high
Embolic Stroke of Undetermined Source,72,stroke high mortality and disability,high
End Stage Renal Disease; Restless Legs Syndrome,78,end-stage renal failure fatal without dialysis,high
Endometrial Cancer,72,gynecologic cancer lethal if untreated,high
Endometrial Carcinoma,72,gynecologic cancer lethal if untreated,high
Endometrial Clear Cell Adenocarcinoma; Endometrial Serous Adenocarcinoma; Stage IIIA Uterine Corpus Cancer; Stage IIIB Uterine Corpus Cancer; Stage IIIC Uterine Corpus Cancer; Stage IVA Uterine Corpus Cancer,88,advanced-stage uterine cancer high mortality,high
Endometriosis,20,chronic painful benign condition,high
Enterovirus; Rhinovirus,12,usually self-limited viral infections,med
Eosinophilic Granulomatosis With Polyangiitis,70,systemic vasculitis with organ-threatening mortality,high
Epidural Catheterization; Thoracic; Procedural Pain,10,procedural pain setting low intrinsic severity,med
Epilepsy,58,seizure disorder with SUDEP and injury risk,high
Epilepsy; Generalized Tonic-Clonic Seizures,60,generalized seizures with SUDEP risk,high
Epilepsy; Generalized Tonic-clonic Seizures,60,generalized seizures with SUDEP risk,high
Epilepsy; Partial Seizures,56,partial seizures disabling with SUDEP risk,high
Erosive Esophagitis,25,treatable mucosal disease rarely fatal,high
Erosive Esophagitis; GERD,25,treatable mucosal reflux disease,high
Esketamine Treatment in Participants With Treatment Resistant Depression,55,treatment-resistant depression high suicide risk,high
Esophageal Cancer,88,aggressive cancer poor prognosis,high
Esophageal Disease,35,nonspecific esophageal disease variable severity,low
Essential Hypertension,40,chronic cardiovascular risk factor,high
Extended Antithrombotic Prophylaxis After Laparoscopic Surgery for Colorectal Cancer,65,colorectal cancer surgical setting with thrombosis risk,med
Failed labor induction,30,obstetric complication with maternal-fetal risk,med
Familial Chylomicronemia Syndrome (FCS) (HLP Type I),60,severe hypertriglyceridemia with pancreatitis risk,high
Familial adenomatous polyposis,68,near-certain progression to colorectal cancer,high
Febrile Neutropenia,80,life-threatening infection risk in neutropenic host,high
Fever,12,common symptom usually self-limited,high
Fibromyalgia,18,chronic pain syndrome not life-threatening,high
First-Line Treatment of Advanced Non-Small Cell Lung Cancer,92,advanced lung cancer rapidly fatal,high
Follicular Lymphoma,68,indolent lymphoma life-shortening but slow,high
Forearm Fracture,12,traumatic injury heals not life-threatening,high
Fragile X Syndrome,30,inherited neurodevelopmental disability not lethal,high
Frailty; Sarcopenic Obesity; Aging,30,frailty increases morbidity/mortality variably,med
Friedreich ataxia,70,progressive neurodegeneration with cardiac mortality,high
Fuchs' endothelial dystrophy,20,corneal disease causing vision loss not lethal,high
Functional Dyspepsia,15,benign functional GI disorder,high
Functional Endoscopic Sinus Surgery (FESS),12,elective surgical setting low intrinsic severity,med
Fungal Infection; Hematopoietic and Lymphoid Cell Neoplasm,85,hematologic malignancy with invasive fungal infection lethal,high
GIST,72,gastrointestinal stromal tumor malignant,high
"GVHD,Acute",80,acute graft-versus-host disease high mortality,high
Gallbladder Carcinoma,90,aggressive cancer poor prognosis,high
Gastric Adenocarcinoma,85,aggressive gastric cancer poor prognosis,high
Gastric Adenocarcinoma; Gastroesophageal Junction Adenocarcinoma,85,aggressive cancer poor prognosis,high
Gastric Bypass; Parathyroid Hormone,25,bariatric surgical/metabolic setting,low
Gastric Cancer,85,aggressive gastric cancer poor prognosis,high
Gastric Carcinoma,85,aggressive gastric cancer poor prognosis,high
Gastric Neoplasm; Early Gastric Cancer,72,early gastric cancer curable but lethal untreated,high
Gastric Neoplasms; Gastroesophageal Junction Adenocarcinoma,85,aggressive cancer poor prognosis,high
Gastric Residual Volume,8,procedural/monitoring measure not a disease,med
Gastric Ulcer,30,treatable can bleed/perforate,high
Gastric Ulcers; Duodenal Ulcers,30,treatable can bleed/perforate,high
Gastro Oesophageal Reflux Disease,20,benign chronic reflux disorder,high
Gastroenteritis,20,usually self-limited can dehydrate,high
Gastroenteritis; Vomiting; Acute Gastroenteritis,20,usually self-limited can dehydrate,high
Gastroesophageal Cancer,85,aggressive cancer poor prognosis,high
Gastroesophageal Reflux Disease; Heartburn,20,benign chronic reflux disorder,high
Gastrointestinal Bleeding,68,can cause hemorrhagic shock and death,high
Gastrointestinal Cancer,82,active GI malignancy lethal if untreated,high
Gastrointestinal Hemorrhage,68,can cause hemorrhagic shock and death,high
"Gastrointestinal Hemorrhage (Clinically Important, Upper)",72,significant upper GI bleed high mortality risk,high
Gastrointestinal Neoplasms; Chemotherapy-induced Nausea and Vomiting,82,GI malignancy lethal if untreated,high
Gastrointestinal Stromal Tumor (GIST),72,gastrointestinal stromal tumor malignant,high
Gastrointestinal Stromal Tumors,72,gastrointestinal stromal tumor malignant,high
Gastrointestinal Surgery,25,surgical setting variable intrinsic severity,low
General Anaesthesia,10,anesthesia procedural setting low intrinsic severity,high
General Anesthesia,10,anesthesia procedural setting low intrinsic severity,high
General Anesthesia; Elective Surgery,10,elective surgical/anesthesia setting,high
Geographic Atrophy,30,advanced macular degeneration causing blindness not lethal,high
Gland Cancer,75,glandular malignancy lethal if untreated,med
Glaucoma,28,progressive blindness not life-threatening,high
Glioblastoma,95,rapidly fatal brain tumor no cure,high
Glioblastoma; Adult-type Diffuse Gliomas,95,rapidly fatal brain tumor no cure,high
Globus,8,benign sensation not life-threatening,high
"Glomerulonephritis, IGA",55,progressive kidney disease toward renal failure,high
Glucose Transporter Type 1 Deficiency Syndrome,55,inherited neurometabolic disorder with seizures/disability,med
Glucose Transporter Type 1 Deficiency Syndrome (Glut1 DS),55,inherited neurometabolic disorder with seizures/disability,med
Graft Versus Host Disease,78,immune complication with significant mortality,high
Graft Versus Host Disease; Ocular Surface Disease; oGVHD; Ocular Graft vs Host Disease; Brimonidine Tartrate; Lubricant Eye Drops; Ophthalmic Solutions; Graft vs Host Disease,78,graft-versus-host disease with significant mortality,high
Graft vs Host Disease,78,immune complication with significant mortality,high
Graft-versus-Host Disease; Immune System Disorders,78,immune complication with significant mortality,high
Graft-versus-host Disease,78,immune complication with significant mortality,high
Graft-versus-host Disease (GVHD),78,immune complication with significant mortality,high
Granulomatous Colitis; Crohn's Disease; Crohn's Enteritis; Granulomatous Enteritis,50,chronic inflammatory bowel disease disabling,high
Graves disease,40,treatable autoimmune thyroid disease with cardiac risk,high
Gynecological Outpatient Surgery,12,minor surgical setting low intrinsic severity,high
HIV,62,chronic life-shortening infection fatal untreated,high
HIV Infection,62,chronic life-shortening infection fatal untreated,high
HIV Infection; Herpes Simplex Type II; HIV Infections,62,chronic life-shortening infection fatal untreated,high
HIV Infections; Cytomegalovirus; CMV,68,HIV with CMV opportunistic infection,high
HIV infection,62,chronic life-shortening infection fatal untreated,high
HIV-1,62,chronic life-shortening infection fatal untreated,high
HIV-1 Infection; Kaposi's Sarcoma,75,HIV with Kaposi sarcoma malignancy,high
HIV-1 Infections,62,chronic life-shortening infection fatal untreated,high
HIV-1 infection,62,chronic life-shortening infection fatal untreated,high
HIV; HIV Infections,62,chronic life-shortening infection fatal untreated,high
HIV; Salivary Gland Disease; Benign Lymphoepithelial Lesion,62,HIV chronic life-shortening infection,high
HIV; Smoking Cessation,62,HIV chronic life-shortening infection,high
HIV; Tuberculosis,78,HIV with tuberculosis coinfection high mortality,high
Hand Wound; Wrist Wound; Forearm Wound; Hand Fracture; Wrist Fracture; Forearm Fracture,12,traumatic injuries heal not life-threatening,high
Headache,12,common symptom usually benign,high
Headache; Intranasal Ketamine,12,headache symptom usually benign,med
Healthcare-Associated Pneumonia; Ventilator-Associated Pneumonia; Lung Diseases,80,nosocomial pneumonia high mortality,high
Healthcare-associated Pneumonia (HCAP); Hospital Acquired Pneumonia (HAP); Ventilator Associated Pneumonia (VAP),80,nosocomial pneumonia high mortality,high
Healthy,5,healthy subjects no disease,high
Healthy Volunteers,5,healthy volunteers no disease,high
Heart Failure,80,high-mortality cardiac disease,high
Heart Failure With Preserved Ejection Fraction,75,heart failure significant mortality,high
Heart Failure With Preserved Ejection Fraction (HFpEF),75,heart failure significant mortality,high
Heart Failure With Reduced Ejection Fraction (HF-rEF),80,reduced-EF heart failure high mortality,high
Heart Failure With Reduced Ejection Fraction (HFrEF),80,reduced-EF heart failure high mortality,high
Heart Failure; Coronary Artery Disease,80,heart failure with ischemic disease high mortality,high
Heart Failure; Dyspnea,80,high-mortality cardiac disease,high
"Heart Failure; Heart Failure, Systolic; Erectile Dysfunction",80,systolic heart failure high mortality,high
Heart Valve Diseases,65,valvular disease progressing to heart failure/death,high
HeartPhone Cancer,75,cancer ambiguous label scored as malignancy,low
Heartburn,12,benign symptom not life-threatening,high
Heartburn; Gastroesophageal Reflux Disease,18,benign chronic reflux disorder,high
Helicobacter Pylori Infection; Gastritis; Vonoprazan; Adolescents,28,treatable infection/gastritis with ulcer/cancer risk,high
Hematologic Neoplasms,85,blood cancers lethal if untreated,high
Hemodialysis; Chronic Renal Failure,78,end-stage renal failure fatal without dialysis,high
Hemoptysis,55,coughing blood may signal serious pathology,med
"Hemorrhage, Postpartum; Placenta Previa",80,postpartum hemorrhage leading maternal death cause,high
Hemorrhagic Shock; Trauma Injury,90,hemorrhagic shock rapidly fatal,high
Hemorrhoids,8,benign anal condition,high
"Hepatitis B; HBV; Hepatitis B, Chronic",58,chronic hepatitis risks cirrhosis and liver cancer,high
Hepatitis C,58,chronic hepatitis risks cirrhosis and liver cancer,high
Hepatitis Delta Virus,68,most severe viral hepatitis rapid cirrhosis,high
Hepatocellular Carcinoma,88,aggressive liver cancer poor prognosis,high
Hepatocellular Carcinoma; Recurrence,88,aggressive liver cancer poor prognosis,high
Herpes Zoster,22,painful self-limited viral reactivation,high
High Risk Polycythemia Vera; High Risk Essential Thrombocythemia,62,myeloproliferative neoplasm with thrombosis/leukemia risk,high
Hip Fracture; Anemia,55,hip fracture high morbidity/mortality in elderly,high
Hip Fracture; Blood Loss,55,hip fracture high morbidity/mortality in elderly,high
Hodgkin Lymphoma,75,lymphoma fatal if untreated but curable,high
Hodgkin lymphoma,75,lymphoma fatal if untreated but curable,high
Hormone-Sensitive Metastatic Breast Cancer,88,metastatic breast cancer incurable life-limiting,high
Human Immunodeficiency Virus,62,chronic life-shortening infection fatal untreated,high
Human Immunodeficiency Virus (HIV) Infections; Acquired Immunodeficiency Syndrome (AIDS) Virus,72,AIDS-stage HIV high mortality,high
Human Immunodeficiency Virus; Herpes Simplex,62,chronic life-shortening infection fatal untreated,high
Huntington Disease,82,progressive fatal neurodegenerative disease,high
Hydatidiform Mole,55,gestational trophoblastic disease with malignant potential,med
Hyperactive Delirium,40,acute confusional state marker of serious illness,med
Hypercholesterolaemia,38,chronic cardiovascular risk factor,high
Hypercholesterolemia,38,chronic cardiovascular risk factor,high
Hypercholesterolemia in Coronaory Heart Disease,58,hypercholesterolemia with coronary disease ischemic risk,high
Hypercholesterolemia; Atherosclerosis; Statin Adverse Reaction,45,atherosclerotic cardiovascular risk,high
Hypercholesterolemia; Familial Hypercholesterolemia,48,familial form high premature cardiovascular risk,high
Hypercholesterolemia; Hypertension,42,combined cardiovascular risk factors,high
Hyperlipidemia,38,chronic cardiovascular risk factor,high
Hyperlipidemia or Mixed Dyslipidemia at High Risk for Cardiovascular Events,48,high cardiovascular event risk,high
Hyperlipidemia; Hypertension,42,combined cardiovascular risk factors,high
Hyperlipidemias,38,chronic CV risk factor manageable,high
"Hyperparathyroidism, Primary; Hypercalcemia",45,severe hypercalcemia can be life-threatening,med
Hypersensitivity Reactions,40,ranges mild to anaphylaxis potentially fatal,low
Hypertension,40,chronic CV risk factor manageable,high
Hypertension With Hyperlipidemia,40,combined chronic CV risk factors,high
"Hypertension, Pulmonary",80,progressive right heart failure high mortality,high
Hypertension; Cardiovascular Disease,55,established CV disease elevated mortality,med
Hypertension; Hyperlipidemia,40,combined chronic CV risk factors,high
Hypertension; Kidney Transplantation,62,transplant immunosuppression life-shortening,med
Hypertension; Sleep Apnea,40,chronic manageable CV/respiratory morbidity,med
Hypogonadism; Obesity,30,chronic metabolic morbidity,med
Hyponatremia,50,severe acute hyponatremia can cause seizures/death,med
Hyponatremia; Dilutional Hyponatremia; Inappropriate ADH Syndrome,50,severe hyponatremia risk of cerebral edema,med
Hypotension; Nausea; Vomiting,25,procedural symptomatic morbidity,low
IBS - Irritable Bowel Syndrome,20,bothersome non-life-threatening GI,high
INFECTION,55,unspecified infection variable potentially severe,low
IV Melanoma,90,advanced/metastatic melanoma high mortality,high
IVF; GnRH Antagonist; PPOS,10,assisted reproduction elective procedure,med
Ibrutinib-Resistant Chronic Lymphocytic Leukemia,82,refractory leukemia life-shortening,high
Idiopathic Nephrotic Syndrome,55,serious chronic renal disease,med
Idiopathic Pulmonary Fibrosis,88,progressive fatal fibrosis median survival 3-5y,high
Immediate Postpartum Hemorrhage,85,acute hemorrhage major maternal mortality,high
Immune Reconstitution Inflammatory Syndrome; HIV; Tuberculosis,80,HIV/TB high mortality serious,high
Immune Thrombocytopenia,50,bleeding risk variable rarely fatal,med
Immune Thrombocytopenic Purpura,50,bleeding risk variable rarely fatal,med
Improved Postoperative Pain,8,post-op pain self-limited,high
Improving Outcomes in People With Knee Osteoarthritis Pain,20,chronic non-lethal joint pain,high
Inclusion Body Myositis,55,progressive disabling myopathy,med
Induction and Maintenance of General Anesthesia,25,anesthesia setting procedural risk,med
Induction of Anesthesia,25,anesthesia setting procedural risk,med
Induction of Labor Affected Fetus / Newborn,45,obstetric setting fetal/maternal risk,med
Induction of Labor Affected Fetus / Newborn; Rupture of Membranes Prior to Onset of Labor,50,obstetric with ROM infection/fetal risk,med
Indwelling Urinary Catheter; Male Patients; General Anesthesia,25,procedural anesthesia setting,low
"Infant, Newborn, Diseases; Cardiovascular Insufficiency",80,neonatal cardiovascular insufficiency high mortality,med
"Infant, Newborn; Infant, Small for Gestational Age; Infant, Very Low Birth Weight; Infant, Premature; Bronchopulmonary Dysplasia",80,extreme prematurity high neonatal mortality,high
Infantile Spasms,70,severe infantile epilepsy developmental devastation,high
"Infection, Human Immunodeficiency Virus; HIV Infections",62,HIV serious life-shortening chronic,high
Infection; Surgery; Nervous System Diseases,60,surgical CNS infection serious,low
Infection; Surgical Site Infection,40,surgical site infection manageable,med
Infections,55,unspecified infection variable severity,low
Infectious Disease; SARS-CoV Infection; Covid19,75,COVID-19 potentially severe/fatal,high
Infectious Pneumonia; Severe COVID-19,82,severe COVID/pneumonia high mortality,high
Infertility,8,non-life-threatening reproductive,high
"Infertility, Female",8,non-life-threatening reproductive,high
Infertility; Poor Ovarian Response,8,non-life-threatening reproductive,high
Inflammation; Macrophage Infiltration; Cardiovascular Disease,55,established CV disease elevated mortality,med
Inflammatory Macular Edema,25,vision-threatening not life-threatening,med
Influenza,40,usually self-limited can be severe in vulnerable,high
"Influenza, Human",40,usually self-limited can be severe in vulnerable,high
Inguinal Hernia; Femoral Hernia,25,surgical condition risk if strangulated,med
Insertion of Intrauterine Contraception,5,elective contraceptive procedure,high
Insomnia; End Stage Renal Disease,75,ESRD high mortality dominates,high
Insulin Resistance; Microvascular Disease,40,chronic metabolic/vascular morbidity,med
Internal Hemorrhoids,8,benign symptomatic condition,high
Intervertebral Disc Prolapse,20,painful disabling rarely lethal,high
Intestinal Neoplasm; Perioperative Care,75,intestinal neoplasm serious cancer,med
Intra-abdominal Infections,72,serious infection sepsis risk,high
"Intracranial Hemorrhages; Intracranial Hemorrhage, Hypertensive; Subarachnoid Hemorrhage; Subdural Hematoma; Intraventricular Hemorrhage; Atrial Fibrillation; Atrial Flutter; Small Vessel Cerebrovascular Disease; Microhaemorrhage",88,intracranial hemorrhage high acute mortality,high
Intraoperative hypotension,25,procedural transient risk,med
Intrapartum - Moderate and Severe Anaemia,55,peripartum anemia maternal risk,med
Invasive Candidiases,82,invasive fungal infection high mortality,high
Irreversible Pulpitis,8,dental pain self-limited with treatment,high
Is an Only Child,5,not a disease,low
Ischaemic Stroke,82,acute stroke high mortality/disability,high
Ischemic Cardiomyopathy; Nonischemic Cardiomyopathy; Heart Failure,80,heart failure high mortality,high
Ischemic Stroke,82,acute stroke high mortality/disability,high
Ischemic stroke,82,acute stroke high mortality/disability,high
Junction Cancer,82,gastroesophageal junction cancer high mortality,med
Junction Carcinoma,82,gastroesophageal junction carcinoma high mortality,med
Juvenile Idiopathic Arthritis,50,chronic disabling pediatric arthritis,high
Kidney Transplantation (Status Post),62,transplant immunosuppression life-shortening,high
"Kidney Transplantation, Mannitol",62,transplant setting serious,med
Knee Arthropathy,20,chronic non-lethal joint disease,high
Knee Injury,15,musculoskeletal injury non-lethal,high
Knee Osteoarthritis,20,chronic non-lethal joint pain,high
Labor induction,40,obstetric setting maternal/fetal risk,med
Labor pain,15,acute self-limited obstetric pain,high
Laparoscopic Cholecystectomy; Postoperative Nausea and Vomiting,15,post-op symptomatic care,high
Laparoscopic Colecctomy,25,surgical procedure setting,med
Latent Tuberculosis Infection,35,latent asymptomatic risk of reactivation,high
Left Ventricular Thrombus,70,thrombus embolic/stroke risk,med
Left Ventricular Thrombus; ST Segment Elevation Myocardial Infarction,82,acute MI with thrombus high mortality,high
Lennox-Gastaut syndrome,68,severe refractory pediatric epilepsy,high
"Leukemia, Myeloid, Acute",90,acute leukemia rapidly fatal untreated,high
Leukemia; Acute Myeloid Leukemia (AML); Myelodysplastic Syndromes (MDS),90,acute leukemia rapidly fatal untreated,high
Liver Cancer,90,hepatocellular carcinoma high mortality,high
Local Anesthesia,8,procedural setting minimal underlying severity,high
Locally Advanced or Metastatic Medullary Thyroid Cancer; Medullary Thyroid Cancer,82,metastatic thyroid cancer high mortality,high
Locoregional Analgesia in Breast Surgery,12,surgical analgesia setting,high
Loiasis,35,parasitic infection rarely fatal,med
Low Back Pain,18,common non-lethal pain,high
Low back pain,18,common non-lethal pain,high
Lower Ureteric Stones,20,painful non-lethal urologic,high
Lumbar Sciatic Pain,18,disabling non-lethal pain,high
Lung Cancer,90,lung cancer high mortality,high
Lung Cancer; Head and Neck Cancer,88,advanced cancers high mortality,high
"Lung Disease, Interstitial",75,progressive ILD often life-shortening,high
"Lung Diseases, Interstitial",75,progressive ILD often life-shortening,high
Lung Diseases; Diagnosis; Anesthesia,40,diagnostic/anesthesia setting variable,low
Lung Transplantation,80,end-stage lung disease transplant high mortality,high
Lung-transplant Recipients,75,transplant immunosuppression life-shortening,high
Lupus Nephritis,68,serious autoimmune renal disease,high
Lymphocytic Colitis,18,benign chronic GI condition,high
"Lymphoma, Non-Hodgkin",78,lymphoma serious potentially fatal,high
"MAC Lung Disease; Treatment Refractory MAC Lung Disease; Mycobacterium Infections, Nontuberculous",65,chronic refractory mycobacterial lung disease,high
MDS,75,myelodysplastic syndrome leukemia risk,high
MEMBRANOUS NEPHROPATHY,55,serious chronic renal disease,high
MULTIPLE MYELOMA,82,incurable hematologic malignancy,high
MUltiple Sclerosis,60,chronic disabling neurologic,high
MV(Mitral Valve) Repair,60,cardiac surgical condition serious,med
Macular Edema,25,vision-threatening not life-threatening,high
Maintaining Remission After the First Flare of Steroid Sensitive Nephrotic Syndrome,45,chronic relapsing renal disease,med
Maintenance Therapies in Advanced Non Small Cell Lung Cancer,90,advanced NSCLC high mortality,high
Major Depression,42,serious with suicide risk manageable,high
Major Depressive Disorder,42,serious with suicide risk manageable,high
Major Non-cardiac Surgery,40,perioperative setting variable risk,med
Malaria,65,potentially fatal especially severe malaria,high
"Malaria, Vivax",50,vivax less lethal than falciparum,high
Malignant Melanoma,80,malignant melanoma high mortality,high
Malignant Pleural Mesothelioma,92,mesothelioma rapidly fatal,high
Mammaplasty,5,cosmetic/elective surgery,high
Management of Gestational Diabetes,40,pregnancy metabolic manageable risk,med
Mantle Cell Lymphoma,80,aggressive lymphoma poor prognosis,high
Mantle Cell Lymphoma; Non-Hodgkin's Lymphoma,80,aggressive lymphoma poor prognosis,high
Marfan syndrome,60,aortic dissection risk life-shortening,high
Medication-assisted Treatment of Opioid Use Disorder,55,opioid use disorder overdose mortality,high
Melanoma; Metastatic Melanoma,90,metastatic melanoma high mortality,high
Menopause,12,physiologic non-lethal,high
Mesothelioma,92,mesothelioma rapidly fatal,high
Metabolic Syndrome,35,chronic CV/metabolic risk factor,high
Metabolic Syndrome X,35,chronic CV/metabolic risk factor,high
Metabolic Syndrome; Endothelial Dysfunction,38,chronic metabolic/vascular morbidity,med
Metastatic Breast Cancer,88,metastatic breast cancer high mortality,high
Metastatic Cancer,92,metastatic solid tumor high mortality,high
Metastatic Castration-Resistant Prostate Cancer; Ovarian Cancer; Epithelial Ovarian Cancer; Fallopian Tube Cancer; Peritoneal Cancer; Other Solid Tumor,92,metastatic solid tumors high mortality,high
Metastatic Castration-resistant Prostate Cancer; Metastatic Breast Cancer,90,metastatic cancers high mortality,high
Metastatic Cervical Cancer,90,metastatic cervical cancer high mortality,high
Metastatic Colorectal Cancer,90,metastatic colorectal cancer high mortality,high
Metastatic Esophageal Carcinoma,92,metastatic esophageal cancer rapidly fatal,high
Metastatic Gastric Cancer,92,metastatic gastric cancer rapidly fatal,high
Metastatic Kidney Cancer,88,metastatic renal cancer high mortality,high
Metastatic Melanoma,90,metastatic melanoma high mortality,high
Metastatic Nasopharyngeal Cancer,88,metastatic nasopharyngeal cancer high mortality,high
Metastatic Nasopharyngeal Carcinoma,88,metastatic nasopharyngeal cancer high mortality,high
Metastatic Pancreas Cancer; Locally Advanced Pancreatic Cancer; Pancreatic Adenocarcinoma,95,metastatic pancreatic cancer rapidly fatal,high
Metastatic Pancreatic Adenocarcinoma,95,metastatic pancreatic cancer rapidly fatal,high
Metastatic Pancreatic Cancer,95,metastatic pancreatic cancer rapidly fatal,high
Metastatic Pancreatic Ductal Adenocarcinoma,95,metastatic pancreatic cancer rapidly fatal,high
Metastatic Prostate Cancer,82,metastatic prostate cancer life-shortening,high
Metastatic Triple-Negative Breast Cancer,92,metastatic TNBC aggressive high mortality,high
Metastatic Urothelial Carcinoma,90,metastatic urothelial cancer high mortality,high
Metastatic Uveal Melanoma,92,metastatic uveal melanoma rapidly fatal,high
Metastatic or Locally Advanced Unresectable Pancreatic Adenocarcinoma,95,metastatic pancreatic cancer rapidly fatal,high
Methicillin-Resistant Staphylococcus Aureus; Bacterial Infections; Staphylococcal Skin Infections,65,MRSA invasive infection potentially fatal,high
Migraine,20,bothersome non-life-threatening,high
Mild Pulmonary Vascular Disease,45,mild vascular disease moderate risk,med
Moderate and Severe COPD,60,COPD progressive life-shortening,high
Mucositis Pain,15,treatment-related self-limited pain,high
Multiple Myeloma,82,incurable hematologic malignancy,high
Multiple Sclerosis,60,chronic disabling neurologic,high
Multiple Sclerosis; Infusion Reaction,60,chronic disabling neurologic,high
Multiple System Atrophy,85,progressive fatal neurodegeneration,high
"Multiple Trauma; Pain, Acute",70,multiple trauma high acute mortality,high
Muscle Relaxation,15,procedural/anesthesia adjunct,med
"Muscular Dystrophy, Duchenne",80,progressive fatal muscular dystrophy,high
"Muscular Dystrophy, Duchenne; Muscular Dystrophies; Muscular Disorders, Atrophic; Muscular Diseases; Musculoskeletal Disease; Neuromuscular Diseases; Nervous System Diseases; Genetic Diseases, X-Linked; Genetic Diseases, Inborn",80,progressive fatal muscular dystrophy,high
