disease,placebo_magnitude,endpoint_subjectivity,effect_size_uncertainty,confidence,basis
Graft-versus-host Disease,25,25,22,med,"Transplant/GVHD/immunosuppression: objective rejection/survival/lab endpoints, low placebo"
Stress Ulcer Prophylaxis,40,55,44,med,"GERD/peptic ulcer/esophagitis: symptom relief is subjective, healing on endoscopy objective; moderate placebo"
Cellulitis,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Ischemic Stroke,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Complicated Intra-abdominal Infection,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Chronic Allergic Conjunctivitis,50,65,54,med,"Allergic rhinitis/symptomatic allergy: notable placebo, symptom-score patient-reported endpoint"
Orthopedic Disorders,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
progressive familial intrahepatic cholestasis,30,35,29,med,"Organ fibrosis (IPF/cirrhosis/PAH): objective measures (FVC/6MWD/hemodynamics), low-moderate placebo"
fecal incontinence,50,65,54,med,"Urologic symptomatic (overactive bladder/BPH/incontinence): high placebo, patient-reported voiding-diary endpoint"
Anal Intraepithelial Neoplasia; High-grade Squamous Intraepithelial Lesion; HIV Infection,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Child Comfort; Morphine; Intensive Care Units; Pediatric,20,20,18,med,"Severe acute (sepsis/shock/critical care): objective mortality/organ-failure endpoints, low placebo"
Primary Breast Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Anticoagulation in Pregnancy,40,55,44,med,"Women's health symptomatic (fibroids/endometriosis/PCOS): mix of objective + symptom endpoints, moderate placebo"
hemodynamic instability,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
focal epilepsy,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
male hypogonadism,30,35,29,med,"Metabolic/endocrine: largely objective lab biomarkers, small placebo drift"
Acute Pain; Post Operative Pain; Pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Renal Insufficiency,30,35,29,med,"Renal/CKD: objective lab endpoints (eGFR/proteinuria), low-moderate placebo"
Acute Pain; Ambulances,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
COVID 19,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
Cystic Fibrosis,28,35,38,high,"CF: objective FEV1/sweat-chloride endpoints, low-moderate placebo"
Bowel Preparation,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
diabetic foot ulcer,22,22,19,med,"Diabetes (HbA1c/glucose): objective lab biomarker endpoint, small placebo drift"
Advanced Melanoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
purpura,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
chronic migraine,60,80,67,med,"Migraine/headache: substantial placebo (~25%), patient headache-diary endpoint"
Lymphocytic Colitis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Skin Structures and Soft Tissue Infections,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
allergic conjunctivitis,50,65,54,med,"Allergic rhinitis/symptomatic allergy: notable placebo, symptom-score patient-reported endpoint"
opioid dependence,55,70,59,med,"Addiction/cessation: high placebo + behavioral component, abstinence partly self-reported"
chronic hepatitis B virus infection,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
"Influenza, Human",18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
Bipolar I Disorder,75,85,78,med,"Psychiatric mood/anxiety: large placebo response (~30-40%), subjective symptom-rating-scale endpoint"
Corona Virus Infection,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
adenovirus infection,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Chronic Thromboembolic Pulmonary Hypertension,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
General Anesthesia,35,40,34,med,"Healthy-volunteer / PK / anesthesia / sedation: objective physiologic endpoints, low placebo"
Prediabetes; Type 2 Diabetes,22,22,19,med,"Diabetes (HbA1c/glucose): objective lab biomarker endpoint, small placebo drift"
Overweight; Autism Spectrum Disorder,55,75,62,med,"Neuro symptomatic (functional/QoL-driven): moderate-high placebo, rating-scale/patient-reported endpoint"
"Spondylitis, Ankylosing",40,55,44,med,"Inflammatory rheum/IBD (RA/PsA/UC/Crohn): composite clinical-response endpoints with patient-reported components, moderate placebo"
PDA,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Hypogonadism; Obesity,35,45,37,med,Obesity: objective weight endpoint but behavioral placebo/lifestyle effect moderate
Cardiovascular Disease,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
cardiorenal syndrome,30,35,29,med,"Renal/CKD: objective lab endpoints (eGFR/proteinuria), low-moderate placebo"
Patients With Resected Pancreatic Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Epidural Catheterization; Thoracic; Procedural Pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
alopecia,45,65,52,med,"Symptomatic dermatology (pruritus/QoL): moderate placebo, partly patient-reported/clinician-visual endpoint"
Insertion of Intrauterine Contraception,40,55,44,med,"Women's health symptomatic (fibroids/endometriosis/PCOS): mix of objective + symptom endpoints, moderate placebo"
cervical intraepithelial neoplasia,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Renal Function After Partial Nephrectomy,30,35,29,med,"Renal/CKD: objective lab endpoints (eGFR/proteinuria), low-moderate placebo"
Arterial Hypertension; Albuminuria,20,20,18,med,"Lipid/BP/glycemia lowering: objective lab/biomarker endpoint, small placebo drift"
Cancer Patients With COVID-19 Infection,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Dystrophia Myotonica Type 1; Myotonia Congenita; Paramyotonia Congenita; Hyperkalemic Periodic Paralysis; Potassium-Aggravated Myotonia,30,35,29,med,"Metabolic/endocrine: largely objective lab biomarkers, small placebo drift"
Irreversible Pulpitis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Mantle Cell Lymphoma,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
Vulvovaginal Atrophy; Menopause; Dyspareunia; Painful Intercourse,55,75,62,med,"Vasomotor/hot-flash symptoms: very high placebo, patient-reported symptom-frequency endpoint"
"Infant, Newborn, Diseases; Cardiovascular Insufficiency",45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Newly-diagnosed Glioblastoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Hepatocellular Carcinoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Autosomal Dominant Polycystic Kidney Disease,30,35,29,med,"Renal/CKD: objective lab endpoints (eGFR/proteinuria), low-moderate placebo"
skin infection,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Psoriasis Vulgaris,45,65,52,med,"Symptomatic dermatology (pruritus/QoL): moderate placebo, partly patient-reported/clinician-visual endpoint"
Neoadjuvant Treatment of Patients With High-risk Early Breast Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Thyroid-associated Ophthalmopathy; Dry Eye Syndrome,45,60,49,med,"Symptomatic eye (dry eye/uveitis): notable placebo, mix of patient-reported + clinical signs"
PPI Resistant Gastroesophageal Reflux Disease,40,55,44,med,"GERD/peptic ulcer/esophagitis: symptom relief is subjective, healing on endoscopy objective; moderate placebo"
Participants With Diabetic Neuropathic Pain,22,22,19,med,"Diabetes (HbA1c/glucose): objective lab biomarker endpoint, small placebo drift"
Coronary Artery Bypass,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Uncomplicated Knowlesi Malaria,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Primary Hyperlipidemia and Mixed Dyslipidemia,20,20,18,med,"Lipid/BP/glycemia lowering: objective lab/biomarker endpoint, small placebo drift"
Behcet syndrome,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Immune Reconstitution Inflammatory Syndrome; HIV; Tuberculosis,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
Myeloma; Venous Thromboembolism,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
General Anesthesia; Elective Surgery,40,50,42,med,Wound/surgical-recovery/perioperative: mix of objective (blood loss) and recovery/symptom endpoints
Bowel Cleansing; Colon Capsule Completion Times,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Hypertension; Sleep Apnea,20,20,18,med,"Lipid/BP/glycemia lowering: objective lab/biomarker endpoint, small placebo drift"
cutaneous Leishmaniasis,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
"Diabetes, Type I; Diabetes, Type II; Angina; Coronary Artery Disease",25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
"Anesthesia, General; Anesthesia, Intravenous",35,40,34,med,"Healthy-volunteer / PK / anesthesia / sedation: objective physiologic endpoints, low placebo"
Treatment of Chronic Hepatitis C Infection,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
unspecified peripheral T-cell lymphoma,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
MUltiple Sclerosis,38,52,50,high,"MS: relapse rate/MRI (objective) + EDSS (semi-subjective), moderate placebo"
"Infection, Human Immunodeficiency Virus; HIV Infections",18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
Polycystic Ovary Syndrome; Insulin Resistance,40,55,44,med,"Women's health symptomatic (fibroids/endometriosis/PCOS): mix of objective + symptom endpoints, moderate placebo"
stridor,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Acute Post-op Pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
narcolepsy,60,80,67,med,"Sleep/insomnia: high placebo, subjective sleep-quality/latency patient-report endpoint"
HIV; Salivary Gland Disease; Benign Lymphoepithelial Lesion,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
Complicated Urinary Tract Infection; Complicated Intra-abdominal Infection,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Primary Myelofibrosis; Post-Polycythemia Vera Myelofibrosis; Post-Essential Thrombocythemia Myelofibrosis,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
Hemorrhoids,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Treatment of Ocular Inflammation and Pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Knee Injury,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Urinary Bladder Overactive; Urinary Bladder Diseases\Urologic Diseases; Overactive Bladder; Urgency Incontinence,50,65,54,med,"Urologic symptomatic (overactive bladder/BPH/incontinence): high placebo, patient-reported voiding-diary endpoint"
submental fat,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
microcytic anemia with liver iron overload,30,35,29,med,"Organ fibrosis (IPF/cirrhosis/PAH): objective measures (FVC/6MWD/hemodynamics), low-moderate placebo"
Pre-eclampsia; Fetus or Newborn; Effects of Induction of Labor,40,55,44,med,"Women's health symptomatic (fibroids/endometriosis/PCOS): mix of objective + symptom endpoints, moderate placebo"
MDS,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Renal Failure; Critical Care; Gram Positive Bacteria,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Chronic Inflammatory Demyelinating Polyradiculopathy,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Prevention & Control,15,20,15,med,"Prophylaxis/contraception/vaccine: objective event/pregnancy/incidence endpoint, minimal placebo"
Alcohol Dependence,55,70,59,med,"Addiction/cessation: high placebo + behavioral component, abstinence partly self-reported"
Philadelphia Chromosome Positive (PH+) Chronic Myelogenous Leukemia in Chronic Phase (CML-CP),18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
Refractory Chronic Leukemia,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
Myocardial Injury After Noncardiac Surgery (MINS),25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Metastatic Uveal Melanoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
hyperhidrosis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
nocturnal enuresis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
PRK Post-operative Pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Critical Ischemia,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
melasma,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
complicated intra-abdominal infection,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Oral SubMucous Fibrosis,30,35,29,med,"Organ fibrosis (IPF/cirrhosis/PAH): objective measures (FVC/6MWD/hemodynamics), low-moderate placebo"
visceral Leishmaniasis,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
ureteral stent-related symptoms,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Bloodstream Infections (BSI) Due to CRE; Hospital-Acquired Bacterial Pneumonia (HABP) Due to CRE; Ventilator-Associated Bacterial Pneumonia (VABP) Due to CRE; Complicated Urinary Tract Infection (cUTI) Due to CRE; Acute Pyelonephritis (AP) Due to CRE,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Chronic Myelogenous Leukemia; Acute Lymphoblastic Leukemia; Acute Myeloid Leukemia; Acute Biphenotypic Leukemia; Myelodysplastic Syndrome; Myeloproliferative Neoplasm; Non-Hodgkin Lymphoma; Hodgkins Disease; Chronic Lymphocytic Leukemia; Multiple Myeloma,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
primary myelofibrosis,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
Urinary Bladder Overactive; Overactive Bladder; Urgency Incontinence; Urinary Bladder Diseases\Urologic Diseases,50,65,54,med,"Urologic symptomatic (overactive bladder/BPH/incontinence): high placebo, patient-reported voiding-diary endpoint"
Clostridium Difficile,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Biochemical Relapse After Definitive Treatment for Prostate Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Patients With Antiphospholipid Syndrome,20,20,18,med,"Lipid/BP/glycemia lowering: objective lab/biomarker endpoint, small placebo drift"
post-kala-azar dermal leishmaniasis,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Bronchoscopy; Conscious Sedation,35,40,34,med,"Healthy-volunteer / PK / anesthesia / sedation: objective physiologic endpoints, low placebo"
spontaneous abortion,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Postoperative Confusion,40,50,42,med,Wound/surgical-recovery/perioperative: mix of objective (blood loss) and recovery/symptom endpoints
Deep Vein Thrombosis; Pulmonary Embolism,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
"Muscular Dystrophy, Duchenne; Muscular Dystrophies; Muscular Disorders, Atrophic; Muscular Diseases; Musculoskeletal Diseases; Neuromuscular Diseases; Nervous System Diseases; Genetic Diseases, X-Linked; Genetic Diseases, Inborn",75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
hemangioma,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
spinal cord injury,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Geographic Atrophy,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Preoperative Sedation,35,40,34,med,"Healthy-volunteer / PK / anesthesia / sedation: objective physiologic endpoints, low placebo"
Hyperlipidemia or Mixed Dyslipidemia at High Risk for Cardiovascular Events,20,20,18,med,"Lipid/BP/glycemia lowering: objective lab/biomarker endpoint, small placebo drift"
Dysphagia,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
"Arthritis, Juvenile",45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Recurrent or Metastatic Head and Neck Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
tyrosinemia type I,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Skin and Subcutaneous Tissue Bacterial Infections; Skin Structures and Soft Tissue Infections,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Vasoplegic syndrome,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Stroke; Secondary Prevention,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Junction Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Early Primary Breast Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Renal Colic,30,35,29,med,"Renal/CKD: objective lab endpoints (eGFR/proteinuria), low-moderate placebo"
Acute Coronary Syndrome; Unstable Angina,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Breast Diseases,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Symptomatic Superficial Vein Thrombosis,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Bariatric Surgery Candidate,40,50,42,med,Wound/surgical-recovery/perioperative: mix of objective (blood loss) and recovery/symptom endpoints
Primary Myelofibrosis (MF),18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
impetigo,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Critical Illness,20,20,18,med,"Severe acute (sepsis/shock/critical care): objective mortality/organ-failure endpoints, low placebo"
Neoplasms,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Cancer; Tumour; Surgery,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Abdominal Aortic Aneurysms,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Wounds and Injuries; Acute Coagulopathy,40,50,42,med,Wound/surgical-recovery/perioperative: mix of objective (blood loss) and recovery/symptom endpoints
Total Blood Loss,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
ocular trauma,45,60,49,med,"Symptomatic eye (dry eye/uveitis): notable placebo, mix of patient-reported + clinical signs"
Peptic Ulcer Hemorrhage,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Infection; Surgery; Nervous System Diseases,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
chronic hepatitis C virus infection,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
Knee Osteoarthritis,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Venous Thromboembolism; Secondary Prevention,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Heart Valve Diseases,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Vasculitis,40,55,44,med,"Inflammatory rheum/IBD (RA/PsA/UC/Crohn): composite clinical-response endpoints with patient-reported components, moderate placebo"
Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis; Microscopic Polyangiitis; Wegener Granulomatosis,40,55,44,med,"Inflammatory rheum/IBD (RA/PsA/UC/Crohn): composite clinical-response endpoints with patient-reported components, moderate placebo"
Acute Hematogenous Osteomyelitis,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
urticaria,45,65,52,med,"Symptomatic dermatology (pruritus/QoL): moderate placebo, partly patient-reported/clinician-visual endpoint"
Pelvic Organ Prolapse; PONV,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Acute Urticaria,45,65,52,med,"Symptomatic dermatology (pruritus/QoL): moderate placebo, partly patient-reported/clinician-visual endpoint"
gram-positive bacterial infections,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Familial adenomatous polyposis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Uterine Myomas,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Local Anesthesia,35,40,34,med,"Healthy-volunteer / PK / anesthesia / sedation: objective physiologic endpoints, low placebo"
peripheral neuropathy,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
Phospholamban R14del Mutation-related Cardiomyopathy,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Ischaemic Stroke,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Dyspepsia; Anxiety; Depression,75,85,78,med,"Psychiatric mood/anxiety: large placebo response (~30-40%), subjective symptom-rating-scale endpoint"
Diffuse Large B Cell Lymphoma,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
Bleeding; ERCP,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
sodium channelopathy-related small fiber neuropathy,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
Metabolic Syndrome X,30,35,29,med,"Metabolic/endocrine: largely objective lab biomarkers, small placebo drift"
"Anesthetic, Sedative or Analgesic Complications in Labor or Delivery",75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Post-operative Pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Fungal Infection; Hematopoietic and Lymphoid Cell Neoplasm,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Parkinson Disease,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
Risk of Disease,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Vulvovaginal Candidiasis,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Skin and Subcutaneous Tissue Bacterial Infections,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Status Epilepticus,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
peroxisome biogenesis disorder,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Adults and Children With Pulmonary Fibrosis,30,35,29,med,"Organ fibrosis (IPF/cirrhosis/PAH): objective measures (FVC/6MWD/hemodynamics), low-moderate placebo"
Persistent Pregnancy of Unknown Location; Ectopic Pregnancy,40,55,44,med,"Women's health symptomatic (fibroids/endometriosis/PCOS): mix of objective + symptom endpoints, moderate placebo"
Neck Carcinoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
facial angiofibroma,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
ALOPECIA AREATA,45,65,52,med,"Symptomatic dermatology (pruritus/QoL): moderate placebo, partly patient-reported/clinician-visual endpoint"
Colorectal Cancer; Metastases,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Brain Tumor Treated With Cranial or Cranial-Spinal Radiation,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Colorectal Neoplasms; Neoplasm Metastasis; Intestinal Neoplasms; Gastrointestinal Neoplasms; Digestive System Neoplasms,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Breast Cancer; Heart Failure; Cardiotoxicity,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Urinary Tract Infection Complicated; Acute Pyelonephritis,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Healthcare-Associated Pneumonia; Ventilator-Associated Pneumonia; Lung Diseases,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
helminth infection,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Hypertension; Kidney Transplantation,20,20,18,med,"Lipid/BP/glycemia lowering: objective lab/biomarker endpoint, small placebo drift"
MEMBRANOUS NEPHROPATHY,30,35,29,med,"Renal/CKD: objective lab endpoints (eGFR/proteinuria), low-moderate placebo"
Arterial Hypertension,20,20,18,med,"Lipid/BP/glycemia lowering: objective lab/biomarker endpoint, small placebo drift"
Is an Only Child,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Negative Behaviour Change,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
"Glomerulonephritis, IGA",30,35,29,med,"Renal/CKD: objective lab endpoints (eGFR/proteinuria), low-moderate placebo"
Carotid Artery Occlusion; Middle Cerebral Artery Occlusion; Stroke,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
otomycosis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Proteinuria,30,35,29,med,"Renal/CKD: objective lab endpoints (eGFR/proteinuria), low-moderate placebo"
ACE inhibitor-induced angioedema,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Heart Failure; Coronary Artery Disease,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
neuropathic pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
