drug,indication,corroboration_level,evidence
Iferanserin,anxiety disorder,target_class_trial,"No Iferanserin anxiety trial. Target-class precedent: quetiapine and risperidone (5-HT2A antagonists) have RCT evidence in generalized anxiety disorder including as adjuncts to SSRIs (e.g., quetiapine GAD trials; risperidone vs paroxetine NCT00457106), and the 5-HT2A receptor is mechanistically implicated in amygdala/hypothalamic anxiety circuits; trifluoperazine (a 5-HT2A-blocking antipsychotic) is FDA-approved for anxiety."
Itacitinib,COVID-19,target_class_trial,"No itacitinib COVID-19 trial found, but the same-target-class JAK1/2 inhibitor baricitinib (Olumiant, co-developed by Incyte/Lilly) received full FDA approval on May 11, 2022 for hospitalized COVID-19 patients requiring oxygen support, and ruxolitinib (JAK1/2) was trialed for COVID-19 cytokine storm (e.g., RUXCOVID NCT04362137)."
Itacitinib,immune system disease,direct_trial,"Broad ontology rollup is backed by multiple real itacitinib programs in immune-mediated disease: acute GVHD Phase 3 GRAVITAS-301 (NCT03139604), chronic GVHD GRAVITAS-309 (NCT03584516), and bronchiolitis obliterans syndrome after lung/HCT transplant (NCT03978637, NCT04239989)."
Itacitinib,rheumatoid arthritis,direct_trial,"Completed Incyte Phase 2 trial NCT01626573 ('Safety, Tolerability, and Efficacy of Itacitinib in Subjects With Active Rheumatoid Arthritis') showed significant ACR20/50/70 and DAS28-CRP improvement vs placebo; RA development was later deprioritized in favor of hematology/oncology."
LCQ908,Diarrhea,none,"Directionality is inverted: DGAT1 loss-of-function (homozygous mutations) CAUSES severe congenital watery diarrhea with protein-losing enteropathy, and the DGAT1 inhibitor pradigastat (LCQ908) itself CAUSES diarrhea as its dose-limiting adverse event (53.3-71.4% incidence at 20-40mg vs 33.3% placebo in the 52-week FCS trial). No LCQ908 or DGAT1-inhibitor-class trial treats diarrhea; the genetic 0.927 score is a real DGAT1-diarrhea ontology link but with reversed therapeutic direction (inhibiting the target produces, not treats, the disease)."
LY3023414,breast cancer,direct_trial,"Multiple registered trials of LY3023414 in breast cancer exist: NCT04032080 (LY3023414 + prexasertib in metastatic triple-negative breast cancer, 25% PR / 37.5% SD), plus a Phase 1b combination with fulvestrant in treatment-refractory advanced breast cancer (ASCO JCO 2017, 56% disease control rate) and combinations with abemaciclib/letrozole."
LY3023414,cancer,direct_trial,"LY3023414 is a clinical-stage pan-cancer oncology drug; first-in-human Phase 1 study NCT01655225 (A Study of LY3023414 in Participants With Advanced Cancer, Clin Cancer Res 2018, PMID 29636360) enrolled advanced solid tumors with tumor-specific expansion cohorts (mesothelioma, breast, NHL, squamous NSCLC)."
LY3023414,ovarian neoplasm,direct_trial,NCT03675893 'Letrozole and Abemaciclib and LY3023414 in Ovarian Cancer and Endometrial Cancer' is a registered trial of LY3023414 in low-grade serous ovarian cancer; additionally LY3023414 + prexasertib was tested in high-grade serous ovarian cancer models with a supporting Phase 1b trial (NCT02124148).
LY3214996,cardiovascular disease,preclinical_literature,"No LY3214996 cardiovascular trial exists (its program is oncology-only: pancreatic NCT04386057, melanoma/CRC/AML, RASopathy-tumor basket NCT04534283). For the RAS-RAF-MEK-ERK class, evidence is preclinical/mechanistic only: ERK1/2 inhibition reduced vascular calcification via miR-126-3p-DKK1/LRP6 (PMC7738895) and reviews (Front Cardiovasc Med 2024, PMC11247000) describe MEK/ERK inhibitors as 'promising' for atherosclerosis/CVD in animal models, while warning of cardiotoxicity risk; no human CVD trial of an ERK or MEK inhibitor for general cardiovascular disease was found."
LY3214996,cardiomyopathy,target_class_trial,"A drug in the same RAS-MAPK cascade (trametinib, a MEK1/2 inhibitor one node upstream of the ERK1/2 target) is in a registered Phase 2 trial for hypertrophic cardiomyopathy in RASopathies (ClinicalTrials.gov NCT06555237) and is documented in published off-label clinical use reversing myocardial hypertrophy in Noonan/RAF1-related cardiomyopathy (JACC 2019, PMID 38827265). LY3214996 itself (the ERK1/2 inhibitor) has no cardiomyopathy trial; class precedent is via MEK, not direct ERK1/2 inhibition."
LY3214996,hypertrophic cardiomyopathy,target_class_trial,"Same-cascade MEK1/2 inhibitor trametinib has a registered Phase 2 RCT specifically for hypertrophic cardiomyopathy in RASopathy patients (NCT06555237, ~40 patients, 12-month trametinib vs standard therapy) plus multiple published treated cases (e.g. RAF1-related obstructive HCM, PMID 38827265). No direct LY3214996/ERK1/2-inhibitor HCM trial; the clinical precedent is MEK inhibition in the identical RAS-RAF-MEK-ERK pathway that drives cardiomyocyte hypertrophy."
LY500307,atrial fibrillation,mechanistic_only,"ESR2 appears as a susceptibility locus in some AF meta-analyses, but the validated lone-AF genetic signal is to ESR1/ER-alpha (TA-repeat polymorphism, PMC3944416), not ESR2; no ESR2/ERbeta-agonist clinical trial or AF-specific preclinical intervention study was found — only general (non-AF) anti-fibrotic ERbeta data."
LY500307,major depressive disorder,direct_trial,"LY500307 itself was run in a placebo-controlled depression trial, NCT03689543 ('Effects of an ER Beta Agonist (Lilly Compound LY500307) on Estradiol-Withdrawal-Induced Mood Symptoms in Women With Past Perimenopausal Depression'), and an adjunctive schizophrenia trial (NCT01874756) also targeted mood/negative symptoms."
LY500307,dilated cardiomyopathy,preclinical_literature,"Multiple preclinical heart-failure studies show ERbeta agonists are cardioprotective — the ERbeta agonist DPN (not the ERalpha agonist PPT) improved ejection fraction to ~45% in HF mice and reversed contractile dysfunction/fibrosis (Biol Sex Differ 2018, PMC6208048; PMC9308745) — but no clinical trial of LY500307 or any ESR2 drug exists in DCM/cardiomyopathy."
Lanabecestat,hyperlipidemia,preclinical_literature,"No clinical trial of Lanabecestat or any BACE1 inhibitor exists for hyperlipidemia (all BACE1 inhibitor programs, including Lanabecestat trials AMARANTH/NCT02245737 and DAYBREAK-ALZ/NCT02783573, targeted only Alzheimer's disease), but preclinical literature ties the target to lipid metabolism: BACE1 is elevated in oxLDL-driven macrophage foam cells and its knockdown reduces lipid droplet accumulation (Taylor 2022, Obesity Reviews 'BACE1: More than just a beta-secretase'), and BACE1 knock-in mice show increased plasma lipid accumulation and a metabolic/diabetes phenotype."
Lanabecestat,Hypercholesterolemia,preclinical_literature,"No registered clinical trial of Lanabecestat or any other BACE1 inhibitor exists for hypercholesterolemia, and Lanabecestat is unapproved (discontinued June 2018), so no off-label use. However preclinical/mechanistic literature links BACE1 to cholesterol biology: lipid-raft cholesterol regulates BACE1-mediated APP cleavage and BACE1 clustering, and BACE1 contributes to oxLDL-driven foam-cell formation relevant to atherogenic cholesterol handling (Taylor 2022 Obesity Reviews review of BACE1 in lipid metabolism)."
M5049 (enpatoran),immune system disease,direct_trial,"Enpatoran (M5049), the TLR7/8 inhibitor, is in registered clinical trials across multiple immune-mediated/autoimmune diseases beyond lupus: the Phase 2 NEPTUNIA trial (NCT05650567) in dermatomyositis/polymyositis, plus prior development in COVID-19 immune-mediated pneumonia. The broad 'immune system disease' roll-up maps directly onto enpatoran's documented autoimmune clinical program."
M5049 (enpatoran),systemic lupus erythematosus,direct_trial,"Enpatoran (M5049) was tested directly in SLE: the Phase 2 WILLOW basket study (NCT05162586) included a moderate-to-severe SLE cohort (Cohort B, reported in The Lancet 2026) and a long-term extension (NCT05540327), preceded by Phase Ib NCT04647708 in active SLE/CLE."
Motesanib,thyroid cancer,direct_trial,"Motesanib diphosphate was tested in a registered phase 2 trial in progressive differentiated thyroid cancer (Sherman et al., NEJM 2008, 93 patients, ORR 14%, DCR 81%) and a separate phase 2 trial in advanced/metastatic medullary thyroid cancer (Schlumberger et al., J Clin Oncol 2009)."
Motesanib,endometriosis,target_class_trial,"No motesanib trial exists for endometriosis, but same-target-class VEGFR/anti-angiogenic agents (sorafenib targeting VEGFR-2/RAF, bevacizumab) significantly reduce endometriotic implant volume in rodent xenograft models (e.g., PubMed 26169036; PLOS One 2016 meta-analysis pone.0166658). However, reviews explicitly note NO human clinical trials of anti-VEGF/VEGFR agents in endometriosis have been conducted, so the precedent is preclinical/target-class only, not a registered clinical program."
RO5285119,urinary system disease,preclinical_literature,"RO5285119 is balovaptan, a selective vasopressin V1a (AVPR1A) antagonist (Roche, tested clinically only in autism). The V1a receptor is expressed in bladder detrusor smooth muscle and renal medulla, where V1a activation drives detrusor contraction, and preclinical work shows V1a-receptor blockade reduces the micturition-reflex threshold pressure in female rats (PMC9525731), giving a direct mechanistic/animal link to lower urinary tract control. However, no registered clinical trial of balovaptan exists in any urinary indication (urinary frequency/pollakiuria appears only as an adverse event in the ASD trials, e.g. NCT02901431), it has no urinary approval/off-label use, and the V1a-selective prototype relcovaptan (SR49059) was never trialed for a urinary disease (its programs were in preterm labor, dysmenorrhea, Raynaud's; phase II discontinued). The approved vasopressin urology drugs (desmopressin, VA106483) target the V2 receptor, not V1a, so they are not same-target precedent. Corroboration is therefore preclinical/mechanistic, not clinical."
Reparixin,ulcerative colitis,target_class_trial,"No reparixin UC trial exists (ClinicalTrials.gov API confirms reparixin's portfolio is breast cancer, myelofibrosis, transplant/IRI, COVID/ARDS, islet transplant only), but the same-class CXCR2 antagonist SB-656933 (GSK) was clinically tested in ulcerative colitis to reduce neutrophil accumulation in the colon (NCT00748410, Phase 2, terminated); strong preclinical support also exists (selective CXCR2 antagonist SB225002 ameliorated DSS/TNBS experimental colitis)."
Reparixin,psoriasis,target_class_trial,"No reparixin psoriasis trial exists, but the same-class dual CXCR1/CXCR2 antagonist navarixin (SCH 527123 / MK-7123) was run in a Phase II psoriasis study (development stopped for lack of efficacy); RIST4721 (CXCR2 antagonist) also reached Phase 2 in the related neutrophilic skin disease palmoplantar pustulosis, confirming an active CXCR2-targeting clinical program in inflammatory skin disease."
Rilzabrutinib,immune system disease,direct_trial,"Rilzabrutinib (Wayrilz, Sanofi) was FDA-approved Aug 29, 2025 for adults with persistent/chronic immune thrombocytopenia (ITP) based on the pivotal Phase 3 LUNA 3 trial, and has active trials in other immune-mediated diseases (IgG4-related disease Phase 2b, chronic spontaneous urticaria RILECSU Phase 2 which met its primary endpoint, and moderate-to-severe asthma Phase 2) — ITP and these conditions are immune system diseases, so the drug is approved/in direct trials for this indication."
SAR439859 (amcenestrant),osteoarthritis,target_class_trial,"No SAR439859 OA trial exists, but the same target (ESR1) is clinically pursued in OA: the HOPE-e randomized placebo-controlled feasibility RCT tested conjugated estrogens plus the SERM bazedoxifene in postmenopausal women with symptomatic hand osteoarthritis (Watt et al., Lancet Rheumatol 2022), and a raloxifene RCT relieved knee OA pain. Note directionality caveat: OA benefit comes from ER agonism/SERMs, whereas amcenestrant is an ER degrader/antagonist (opposite pharmacology)."
SAR439859 (amcenestrant),arthritis,target_class_trial,"Same target (ESR1) has clinical programs in arthritis: the ER-alpha agonist Org 37663 was tested in a Phase IIa RCT in postmenopausal rheumatoid arthritis patients (PubMed 20112368), and SERMs bazedoxifene/raloxifene have RA RCTs (e.g., bazedoxifene in glucocorticoid-treated RA, Arthritis Res Ther 2021). No SAR439859 arthritis trial; same directionality caveat (amcenestrant is a SERD/antagonist, arthritis benefit is from ER agonism)."
Tivantinib,kidney cancer,direct_trial,"ClinicalTrials.gov NCT01688973 ('Tivantinib With or Without Erlotinib Hydrochloride in Treating Patients With Metastatic or Locally Advanced Kidney Cancer That Cannot Be Removed by Surgery') is a registered phase II trial of tivantinib in papillary renal cell carcinoma, a kidney cancer."
Tivantinib,renal cell carcinoma,direct_trial,NCT01688973 is a randomized phase II trial assessing response rate and PFS of tivantinib (ARQ 197) with or without erlotinib specifically in patients with locally advanced or metastatic papillary renal cell carcinoma.
Tivantinib,digestive system cancer,direct_trial,"Tivantinib was studied in multiple digestive-system cancers, including two phase III hepatocellular carcinoma trials (METIV-HCC, JET-HCC; e.g., NCT01755767) and a phase II trial in MET-high KRAS-wild-type metastatic colorectal cancer combined with cetuximab (NCT01892527), plus gastric cancer in phase I."
abemaciclib,melanoma,direct_trial,"Abemaciclib has registered/completed melanoma trials: the phase I trial (Patnaik et al., Cancer Discovery 2016) included a 26-patient melanoma cohort (1 RECIST partial response, disease control rate 27%), and NCT02308020 enrolled a dedicated melanoma cohort (23 patients) for brain metastases."
abemaciclib,cutaneous melanoma,direct_trial,"The melanoma cohorts in abemaciclib trials (Patnaik phase I, NCT02308020) were predominantly cutaneous melanoma (the dominant subtype enriched for NRAS/INK4 alterations driving aberrant CDK4/6 activity); CDK4/6 inhibitors are also in BRAF/MEK combination trials specifically for cutaneous BRAF-V600 melanoma (e.g., encorafenib+binimetinib+ribociclib)."
abemaciclib,epilepsy,mechanistic_only,"No abemaciclib (or any CDK4/6-inhibitor) epilepsy trial exists; the genetic epilepsy-CDK signal in literature maps to CDK5 and CDKL5 (CDKL5-deficiency disorder causes epilepsy) — a different kinase family, indicating a likely CDK name-family genetic-ontology roll-up rather than a CDK4/6-specific link."
atropine,benign prostatic hyperplasia,target_class_trial,"Same-target-class muscarinic M2/M3 antagonists (solifenacin, tolterodine) are in phase 3 trials and clinical use for BPH-associated storage LUTS (NEPTUNE trial, n=1,334, solifenacin+tamsulosin); however atropine itself is contraindicated in BPH because nonselective antimuscarinic action worsens urinary retention (StatPearls), so the genetic target link is real but the effect direction for atropine is unfavorable."
atropine,pregnancy disorder,approved_offlabel,"Atropine and atropine-like anticholinergics have documented obstetric use: Hirsch (1937) reported intrapartum administration of an atropine-like drug (Syntropan) shortened labor, and the antispasmodic/anticholinergic class is in modern RCTs for labor augmentation/cervical dilatation (rociverine, hyoscine butylbromide); atropine itself is used clinically in pregnancy when indicated (vagolytic/antisialagogue, crosses placenta) per UKTIS and the FDA atropine sulfate label."
azacitidine,dementia,preclinical_literature,"No registered clinical trial of azacitidine in dementia/Alzheimer's exists, but DNMT inhibitors including azacitidine (5-azacytidine) and decitabine show neuroprotection in preclinical Huntingtin and Alzheimer's N2a/APPswe cellular and mouse models, and a USPTO patent (US10842807) covers 'Methods of treating neurodegenerative disorders comprising DNA methyltransferase inhibitors' — mechanistic plausibility supported preclinically, no clinical program."
azacitidine,hematopoietic and lymphoid cell neoplasm,direct_trial,"Azacitidine (Vidaza) is FDA-approved for multiple hematopoietic neoplasms (MDS subtypes RA/RARS/RAEB/RAEB-T, CMML, JMML) and EU-approved for AML; direct trials in this exact disease space include NCT04752163 ('Hematopoietic and Lymphoid Cell Neoplasm' with azacitidine) and the ORACLE phase 3 study of oral azacitidine in follicular helper T-cell lymphoma."
danicopan,immune system disease,direct_trial,"Danicopan (Voydeya) is FDA-approved as add-on therapy for paroxysmal nocturnal hemoglobinuria (PNH), an immune/complement-mediated hemolytic disease driven by alternative-pathway dysregulation, and was directly trialed in the complement/immune-complex-mediated kidney disease C3 glomerulopathy/IC-MPGN (NCT03124368, two Phase 2 studies). The CFD/Factor D target class regulates the alternative complement pathway, a core innate/adaptive immune effector, so this broad ontology term maps to real registered danicopan programs in complement-mediated immune disease."
eFT508,carpal tunnel syndrome,preclinical_literature,"No clinical trial of eFT508 or any MNK1/2 inhibitor exists for carpal tunnel syndrome (all registered eFT508 trials are oncology, e.g. NCT03616834, NCT03690141), and no CTS-specific study was found; however, eFT508 (tomivosertib) is shown to suppress ectopic spontaneous activity in human dorsal root ganglion nociceptors from neuropathic-pain dermatomes (PMC10312735; Brain 2024, PMID 39046204) and MNK1/2-eIF4E signaling drives injury-induced nociceptor sensitization/chronic neuropathic pain (PMC5546114), providing preclinical/mechanistic target-class linkage to the neuropathic-pain disease area that encompasses the symptomatic burden of carpal tunnel (a focal compression neuropathy) but no clinical or CTS-specific evidence."
galeterone,congenital adrenal hyperplasia,target_class_trial,"No galeterone CAH trial exists, but abiraterone (same CYP17A1-inhibitor target class) is in registered CAH trials NCT02574910 ('Androgen Reduction in Congenital Adrenal Hyperplasia, Phase 1') and NCT03548246 (hydrocortisone/fludrocortisone + abiraterone in CAH), with published Phase 1 data showing androstenedione fell from 764 to 254 ng/dL on 100 mg/day; CYP17A1 inhibition reduces the androgen excess of classic 21-OHD CAH."
galeterone,Familial prostate cancer,direct_trial,Galeterone itself was directly developed and clinically trialed in prostate cancer: ARMOR2 Phase 2 (NCT01709734) and the ARMOR3-SV Phase 3 randomized trial of galeterone vs enzalutamide in AR-V7+ metastatic castration-resistant prostate cancer (PMID 31542304); 'familial' is a genetic-ontology subtype of the same prostate-cancer disease the drug was directly tested in.
galeterone,infertility,mechanistic_only,"Genetic-ontology link is real (CYP17A1 and AR are required for spermatogenesis; CYP17A1 haploinsufficiency CAUSES male infertility, PMID 15890676), but directionality is backwards: galeterone inhibits CYP17A1 and degrades/antagonizes AR, which would suppress androgens and worsen fertility — it is a cause/contraindication, not a treatment. No galeterone or target-class trial, off-label use, or therapeutic preclinical support for treating infertility was found."
linifanib,endometriosis,direct_trial,"NCT03481842 (Phase I, UniversitatsSpital Zurich, 94 endometriosis patients, 2018) tested vaginal anti-angiogenic suppositories that explicitly include linifanib (ABT-869) alongside axitinib and afatinib for treatment of genital endometriosis."
linifanib,coronary artery disease,preclinical_literature,"Mendelian-randomization study (Sjaarda et al., JACC 2018;72:300-310) found CSF1 - the ligand of linifanib's primary target CSF1R - is a causal mediator of CAD (OR 1.18 per SD, p=2.1e-4), supported by preclinical work showing CSF1R-driven macrophage/foam-cell formation in atherosclerotic plaque; however no clinical trial of linifanib or any CSF1R-axis inhibitor for CAD treatment was found, and CSF1R inhibition can impair post-MI cardiac recovery."
lumateperone,major depressive disorder,direct_trial,"Lumateperone (Caplyta) was FDA-approved on Nov 6, 2025 as adjunctive therapy for MDD, supported by two positive Phase 3 placebo-controlled trials (Study 501 and Study 502; e.g., 4.9-point MADRS improvement vs placebo, effect size 0.61) in adults with inadequate antidepressant response."
lumateperone,bipolar disorder,direct_trial,"Lumateperone is FDA-approved (2021) for depressive episodes in bipolar I/II disorder as monotherapy and adjunct; Phase 3 monotherapy trial NCT02600494 met its primary endpoint (MADRS p<0.001, effect size 0.56)."
lumateperone,anxiety disorder,target_class_trial,"No lumateperone trial targets anxiety disorder as a primary indication (only secondary anxious-distress/inner-tension item improvement in depression Study 403, NCT04285515), but the same DRD2/HTR2A target class has GAD clinical-trial/use evidence, e.g., quetiapine in randomized GAD augmentation trials (NCT00113295, NCT00229645) and a low-dose quetiapine GAD meta-analysis."
mesalamine,type 2 diabetes mellitus,target_class_trial,"Salsalate, a salicylate of the same anti-inflammatory class as 5-ASA, was tested in multiple T2D RCTs (TINSAL-T2D, n=286: HbA1c 0.37% lower vs placebo over 48 weeks, PMID 23817699), and PPARG is the direct target of approved thiazolidinedione antidiabetics; a retrospective study of 6,197 UC+metabolic-syndrome patients also found oral mesalamine significantly decreased fasting glucose (P<0.001) over 12 months, but no registered RCT of mesalamine as a primary diabetes therapy exists."
mesalamine,asthma,target_class_trial,"ALOX5 (5-lipoxygenase) is the direct target of zileuton, the first FDA-approved (1996) 5-LOX inhibitor indicated for chronic asthma, and the same leukotriene pathway underlies approved montelukast/zafirlukast; for mesalamine itself only preclinical support exists (5-ASA attenuated allergen-induced airway inflammation in an OVA mouse asthma model, PMID 25101553), with no registered human asthma trial of mesalamine found."
niraparib,melanoma,direct_trial,"NCT03925350 is a single-arm Phase II investigator-initiated trial of single-agent niraparib in advanced/metastatic melanoma with homologous-recombination pathway mutations; 14 patients, 2 confirmed responses and disease control rate 64% (published JCO Precision Oncology PO-24-00658, 2025). A second niraparib trial (NCT03207347, UF-STO-ETI-001) covers BAP1/DDR-deficient neoplasms including melanoma."
niraparib,cutaneous melanoma,direct_trial,"The same niraparib Phase II trial NCT03925350 enrolled 'nonuveal metastatic melanoma' (i.e., predominantly cutaneous melanoma, excluding uveal), directly corroborating the cutaneous-melanoma nomination; cutaneous melanoma is the dominant non-uveal subtype with ~21-34% harboring HR-pathway aberrations. Target-class precedent also exists (olaparib, talazoparib in melanoma trials)."
pacritinib,immune system disease,direct_trial,"Pacritinib has registered clinical trials in graft-versus-host disease (an immune-mediated disease): NCT02891603 (Phase I/II GVHD prevention with sirolimus/tacrolimus, completed, final Phase 2 results published in Blood 2024, 144:2295) and NCT05531786 (Phase I/II in refractory chronic GVHD), driven by its JAK2/IRAK1/CSF1R immunomodulatory activity."
pacritinib,hematopoietic and lymphoid cell neoplasm,direct_trial,"Pacritinib (Vonjo) is FDA-approved (Feb 28, 2022) for intermediate/high-risk myelofibrosis with thrombocytopenia (a hematopoietic/myeloid neoplasm), and was studied clinically in AML (n=7, Phase 1/2 myeloid malignancy study, PMC5146859) and in relapsed lymphoma (SB1518 Phase I study showing activity across multiple lymphoma subtypes), directly covering both the hematopoietic and lymphoid arms of this indication."
parsaclisib,immune system disease,direct_trial,"Parsaclisib has registered/completed clinical trials in primary warm autoimmune hemolytic anemia (an immune system disease): a phase 2 open-label study (NCT05073458 / sponsor ID INCB 50465-309; published Barcellini et al., Am J Hematol 2024, doi:10.1002/ajh.27493, 64% PR/CR response) and a randomized phase 3 trial (PATHWAY); additional autoimmune-mechanism work exists in experimental pemphigoid disease."
pemigatinib,hypogonadism,none,"The FGFR1-hypogonadism link is real but mechanistically REVERSED: congenital hypogonadotropic hypogonadism / Kallmann syndrome is caused by LOSS-OF-FUNCTION FGFR1 mutations (KAL2, ~10% of KS cases; e.g. R254W, V429E), so an FGFR inhibitor like pemigatinib would further impair FGFR1 signaling and worsen, not treat, the condition (PMC5463295; PMC6994936 shows FGFR inhibition reduces germ cell survival in fetal gonads). This is a spurious genetic-ontology artifact - high genetic score from a strong gene-disease association that points the wrong way for an antagonist. No trial, no class precedent, evidence against."
pemigatinib,cervical cancer,direct_trial,"The phase 2 FIGHT-207 basket trial of pemigatinib in FGFR1-3-altered solid tumors (NCT03822117; Nat Med 2024, PMID 38710951) explicitly reported activity in cervical cancer among the tumor types responding, directly treating this drug in this indication (cervical cancer harbors recurrent FGFR2/FGFR3 alterations)."
pemigatinib,colorectal cancer,direct_trial,"Pemigatinib was tested directly in metastatic FGF/FGFR-altered colorectal cancer in the ACCRU-GI-1701 phase II single-arm trial (NCT04096417) and a second multicenter phase II (NCT05202236, gastric/colorectal); a registered/completed trial of this exact drug in this indication exists, though ACCRU-GI-1701 closed for futility (0% ORR, n=14 interim) - so corroboration is 'field is pursuing it' but the clinical result was negative."
rivaroxaban,venous thromboembolism,direct_trial,"Rivaroxaban (Xarelto) is FDA-approved for treatment of DVT/PE and reduction of recurrent VTE, for extended VTE treatment (10 mg once daily after >=6 months therapy), and for VTE prevention in hospitalized acutely ill medical patients; validated in the EINSTEIN clinical trial programme (e.g., EINSTEIN-DVT/EXT) and FDA-approved Nov 2012."
rivaroxaban,pulmonary embolism,direct_trial,"The EINSTEIN-PE trial (NEJM 2012, n~4,833 symptomatic PE patients) showed oral rivaroxaban non-inferior to enoxaparin/VKA standard therapy with lower major bleeding; rivaroxaban is FDA-approved (Nov 2012) and EMA-approved specifically for treatment of acute pulmonary embolism."
rucaparib,melanoma,direct_trial,A completed phase II trial of rucaparib (PF-01367338/AG014699) plus temozolomide in 46 chemotherapy-naive patients with metastatic melanoma showed chemopotentiation and improved PFS over historical temozolomide-alone controls (PubMed 23423489; Pfizer trials A4991002/A4991005).
rucaparib,cutaneous melanoma,direct_trial,"The same rucaparib + temozolomide phase II metastatic melanoma trial (PubMed 23423489) enrolled chemotherapy-naive metastatic melanoma patients, a population that is overwhelmingly cutaneous melanoma; PARP-inhibitor melanoma literature specifically frames cutaneous melanoma BRCA/DNA-repair mutations (~11.5% of cutaneous melanoma) as the rationale, making cutaneous melanoma a clearly equivalent disease term to the registered rucaparib trial."
selinexor,chronic lymphocytic leukemia,direct_trial,A registered clinical trial of selinexor in CLL exists: NCT02303392 (Selinexor and Ibrutinib in Treating Patients With Relapsed or Refractory Chronic Lymphocytic Leukemia or Aggressive Non-Hodgkin Lymphoma); selinexor also showed antitumor activity in CLL patients in the phase 1 trial NCT01607892.
selinexor,acute lymphoblastic leukemia,direct_trial,"Karyopharm ran a Phase 1 trial of selinexor (KPT-330) in pediatric relapsed acute lymphoblastic leukemia and AML (NCT02091245), and the SELHEM trial NCT02212561 tested selinexor with fludarabine and cytarabine in relapsed/refractory acute leukemia including ALL."
talazoparib,melanoma,direct_trial,"NCT04187833 is a registered Phase II trial of talazoparib combined with nivolumab in patients with unresectable or metastatic melanoma harboring BRCA/BRCAness (HRR) mutations (Cleveland Clinic, sponsored by Pfizer); results presented at AACR 2024 (Abstract CT261) and ASCO 2020 (TPS10082)."
talazoparib,cutaneous melanoma,direct_trial,"The same talazoparib+nivolumab Phase II trial (NCT04187833) explicitly enrolled cutaneous melanoma patients (3 of the reported cohort), alongside blue-nevus and uveal melanoma subtypes, all with DNA-repair gene mutations (BAP1, BRCA2, ATM, ATR, ARID2)."
valbenazine,intracranial hemorrhage,none,"No valbenazine, VMAT2-class (tetrabenazine/deutetrabenazine/reserpine), or off-label program exists for intracranial hemorrhage; SLC18A2 is a monoamine vesicular transporter whose disease association is infantile parkinsonism-dystonia-2 with normal brain MRI and no hemorrhage/vascular phenotype (OMIM 618049), so the genetic score appears to be a spurious ontology roll-up with no clinical, preclinical, or class evidence."
valbenazine,injury,mechanistic_only,"No valbenazine or VMAT2-class trial in TBI/SCI/'injury'; only thin mechanistic literature exists, and it concerns INCREASED VMAT2 protecting dopamine neurons from neurotoxic (MPTP/methamphetamine) insult (PMC4489556) — the opposite direction to valbenazine's VMAT2 inhibition and not traumatic injury, so support is target-rationale only."
